batchsize,dim_input,dim_output,use_bias,activation_fct,hashkey
41,16393,681,1,1,"[41,16393,681,1,1]"
21,15976,1276,1,0,"[21,15976,1276,1,0]"
44,14205,815,1,1,"[44,14205,815,1,1]"
59,19144,2389,1,0,"[59,19144,2389,1,0]"
35,28081,2004,0,0,"[35,28081,2004,0,0]"
39,6152,1416,1,1,"[39,6152,1416,1,1]"
38,31064,1625,1,0,"[38,31064,1625,1,0]"
1,9715,3371,1,1,"[1,9715,3371,1,1]"
48,17339,1712,1,0,"[48,17339,1712,1,0]"
38,21354,2332,0,0,"[38,21354,2332,0,0]"
12,16967,1001,1,0,"[12,16967,1001,1,0]"
13,24930,2451,0,1,"[13,24930,2451,0,1]"
49,8536,3238,1,0,"[49,8536,3238,1,0]"
42,21178,1924,1,1,"[42,21178,1924,1,1]"
59,30075,4083,0,1,"[59,30075,4083,0,1]"
17,22381,848,1,1,"[17,22381,848,1,1]"
23,22276,4080,1,0,"[23,22276,4080,1,0]"
42,6167,3687,0,1,"[42,6167,3687,0,1]"
39,25787,1218,0,0,"[39,25787,1218,0,0]"
41,3842,3694,0,0,"[41,3842,3694,0,0]"
6,20002,15,1,0,"[6,20002,15,1,0]"
15,17332,854,1,1,"[15,17332,854,1,1]"
3,11108,2865,0,0,"[3,11108,2865,0,0]"
63,30978,320,1,0,"[63,30978,320,1,0]"
50,12249,2122,1,1,"[50,12249,2122,1,1]"
2,8200,513,1,1,"[2,8200,513,1,1]"
7,17180,268,1,1,"[7,17180,268,1,1]"
15,27068,3877,0,1,"[15,27068,3877,0,1]"
34,14646,2643,1,0,"[34,14646,2643,1,0]"
6,28922,905,1,1,"[6,28922,905,1,1]"
47,27958,3466,0,1,"[47,27958,3466,0,1]"
1,19530,1412,1,0,"[1,19530,1412,1,0]"
60,8347,2794,0,1,"[60,8347,2794,0,1]"
30,30117,779,1,0,"[30,30117,779,1,0]"
37,30089,2098,1,1,"[37,30089,2098,1,1]"
42,12772,3277,0,0,"[42,12772,3277,0,0]"
45,27200,895,1,1,"[45,27200,895,1,1]"
51,13898,1434,1,0,"[51,13898,1434,1,0]"
52,4637,1488,1,0,"[52,4637,1488,1,0]"
59,14657,981,0,0,"[59,14657,981,0,0]"
58,27878,2712,1,0,"[58,27878,2712,1,0]"
7,6576,2174,1,0,"[7,6576,2174,1,0]"
42,9136,1802,1,1,"[42,9136,1802,1,1]"
63,22746,418,0,0,"[63,22746,418,0,0]"
23,27977,822,0,1,"[23,27977,822,0,1]"
44,21235,3249,1,0,"[44,21235,3249,1,0]"
59,12379,3584,1,1,"[59,12379,3584,1,1]"
24,3331,2036,1,1,"[24,3331,2036,1,1]"
1,11709,2368,0,1,"[1,11709,2368,0,1]"
3,5137,1790,1,1,"[3,5137,1790,1,1]"
53,23501,435,0,1,"[53,23501,435,0,1]"
42,5479,795,1,0,"[42,5479,795,1,0]"
48,15539,3385,1,1,"[48,15539,3385,1,1]"
61,22275,3971,0,1,"[61,22275,3971,0,1]"
33,17204,2410,1,0,"[33,17204,2410,1,0]"
57,31825,1678,0,0,"[57,31825,1678,0,0]"
8,29813,514,1,1,"[8,29813,514,1,1]"
53,2289,2880,1,0,"[53,2289,2880,1,0]"
29,22827,3201,0,1,"[29,22827,3201,0,1]"
43,16397,3961,1,0,"[43,16397,3961,1,0]"
46,28475,3168,0,0,"[46,28475,3168,0,0]"
64,10259,3266,1,0,"[64,10259,3266,1,0]"
18,5198,781,0,1,"[18,5198,781,0,1]"
17,7171,1031,1,0,"[17,7171,1031,1,0]"
9,26656,1707,0,0,"[9,26656,1707,0,0]"
2,24665,3595,1,0,"[2,24665,3595,1,0]"
20,3199,1261,1,1,"[20,3199,1261,1,1]"
52,32217,1286,0,1,"[52,32217,1286,0,1]"
60,13253,74,0,0,"[60,13253,74,0,0]"
6,29727,3588,1,0,"[6,29727,3588,1,0]"
41,16904,2069,0,1,"[41,16904,2069,0,1]"
60,20812,48,1,0,"[60,20812,48,1,0]"
54,30404,3654,0,1,"[54,30404,3654,0,1]"
37,18581,1608,1,1,"[37,18581,1608,1,1]"
55,31194,2877,0,1,"[55,31194,2877,0,1]"
52,5840,3039,1,0,"[52,5840,3039,1,0]"
34,9972,2582,0,1,"[34,9972,2582,0,1]"
50,6675,3732,1,1,"[50,6675,3732,1,1]"
52,11846,124,1,0,"[52,11846,124,1,0]"
57,20228,2615,1,1,"[57,20228,2615,1,1]"
22,7891,138,0,1,"[22,7891,138,0,1]"
62,25886,1605,1,0,"[62,25886,1605,1,0]"
58,29606,1142,0,0,"[58,29606,1142,0,0]"
4,28865,822,1,1,"[4,28865,822,1,1]"
15,21539,1962,0,0,"[15,21539,1962,0,0]"
2,9662,1978,1,1,"[2,9662,1978,1,1]"
61,12396,2965,0,1,"[61,12396,2965,0,1]"
43,32446,313,0,1,"[43,32446,313,0,1]"
61,11133,3849,0,0,"[61,11133,3849,0,0]"
17,17913,2676,0,1,"[17,17913,2676,0,1]"
18,22160,3775,1,1,"[18,22160,3775,1,1]"
64,18439,1123,0,0,"[64,18439,1123,0,0]"
51,32293,2230,1,0,"[51,32293,2230,1,0]"
2,12392,2785,1,0,"[2,12392,2785,1,0]"
61,5770,3447,0,0,"[61,5770,3447,0,0]"
61,32695,1948,0,0,"[61,32695,1948,0,0]"
42,5611,1023,1,0,"[42,5611,1023,1,0]"
11,3797,3102,0,1,"[11,3797,3102,0,1]"
57,19744,3277,1,0,"[57,19744,3277,1,0]"
41,23067,506,1,1,"[41,23067,506,1,1]"
7,5929,2392,0,0,"[7,5929,2392,0,0]"
28,25114,3256,0,0,"[28,25114,3256,0,0]"
3,2175,3451,0,1,"[3,2175,3451,0,1]"
14,9064,2097,1,1,"[14,9064,2097,1,1]"
38,31579,1048,0,1,"[38,31579,1048,0,1]"
7,531,2456,1,0,"[7,531,2456,1,0]"
53,8552,3160,0,0,"[53,8552,3160,0,0]"
52,13383,2678,0,0,"[52,13383,2678,0,0]"
48,25208,2994,0,1,"[48,25208,2994,0,1]"
44,29322,2487,0,0,"[44,29322,2487,0,0]"
22,22656,1264,0,0,"[22,22656,1264,0,0]"
15,22178,812,0,1,"[15,22178,812,0,1]"
19,27582,48,0,0,"[19,27582,48,0,0]"
64,18592,2416,1,1,"[64,18592,2416,1,1]"
42,21085,476,0,0,"[42,21085,476,0,0]"
46,1986,1788,0,1,"[46,1986,1788,0,1]"
24,17016,3844,1,1,"[24,17016,3844,1,1]"
32,8374,3285,0,0,"[32,8374,3285,0,0]"
24,32047,3250,0,1,"[24,32047,3250,0,1]"
46,4058,1970,0,0,"[46,4058,1970,0,0]"
53,17226,1317,0,0,"[53,17226,1317,0,0]"
44,9265,3693,0,1,"[44,9265,3693,0,1]"
32,8736,895,1,1,"[32,8736,895,1,1]"
21,24857,2712,1,1,"[21,24857,2712,1,1]"
18,23824,2095,0,0,"[18,23824,2095,0,0]"
60,25932,2652,0,0,"[60,25932,2652,0,0]"
2,20846,1601,0,0,"[2,20846,1601,0,0]"
58,16733,2855,0,1,"[58,16733,2855,0,1]"
4,13767,1275,1,1,"[4,13767,1275,1,1]"
18,12490,3867,1,1,"[18,12490,3867,1,1]"
51,6747,2007,0,0,"[51,6747,2007,0,0]"
4,30324,715,1,0,"[4,30324,715,1,0]"
60,15031,3848,0,1,"[60,15031,3848,0,1]"
37,1089,297,1,0,"[37,1089,297,1,0]"
26,24392,2112,0,1,"[26,24392,2112,0,1]"
39,22535,2332,1,0,"[39,22535,2332,1,0]"
59,17139,500,1,0,"[59,17139,500,1,0]"
46,22376,2929,1,0,"[46,22376,2929,1,0]"
22,31850,1233,0,0,"[22,31850,1233,0,0]"
46,31278,3959,1,0,"[46,31278,3959,1,0]"
43,14354,468,0,1,"[43,14354,468,0,1]"
48,13126,1063,1,0,"[48,13126,1063,1,0]"
27,17985,3861,0,0,"[27,17985,3861,0,0]"
53,5588,2446,1,0,"[53,5588,2446,1,0]"
23,24112,487,1,1,"[23,24112,487,1,1]"
55,16040,812,1,0,"[55,16040,812,1,0]"
9,20171,262,0,1,"[9,20171,262,0,1]"
19,32600,2491,0,0,"[19,32600,2491,0,0]"
9,32688,1750,1,0,"[9,32688,1750,1,0]"
26,14672,3100,0,0,"[26,14672,3100,0,0]"
53,23024,341,0,0,"[53,23024,341,0,0]"
36,24458,1737,0,0,"[36,24458,1737,0,0]"
47,10257,2137,1,0,"[47,10257,2137,1,0]"
2,5214,2928,0,0,"[2,5214,2928,0,0]"
9,25595,1373,0,1,"[9,25595,1373,0,1]"
40,14345,3685,1,1,"[40,14345,3685,1,1]"
11,427,1739,1,0,"[11,427,1739,1,0]"
21,26322,2065,1,0,"[21,26322,2065,1,0]"
58,24755,3353,0,0,"[58,24755,3353,0,0]"
34,296,91,0,0,"[34,296,91,0,0]"
49,22431,1921,0,0,"[49,22431,1921,0,0]"
34,24162,4069,0,0,"[34,24162,4069,0,0]"
60,26393,3374,1,0,"[60,26393,3374,1,0]"
28,8895,3408,1,1,"[28,8895,3408,1,1]"
18,4641,2197,0,0,"[18,4641,2197,0,0]"
15,14732,421,0,0,"[15,14732,421,0,0]"
51,27763,222,1,0,"[51,27763,222,1,0]"
23,3816,2552,0,1,"[23,3816,2552,0,1]"
27,8275,4020,0,1,"[27,8275,4020,0,1]"
43,13910,2564,1,1,"[43,13910,2564,1,1]"
22,13502,3993,0,0,"[22,13502,3993,0,0]"
11,23061,3440,1,1,"[11,23061,3440,1,1]"
56,31950,3116,0,0,"[56,31950,3116,0,0]"
64,14957,3298,1,1,"[64,14957,3298,1,1]"
19,14726,1550,0,1,"[19,14726,1550,0,1]"
18,28183,613,0,0,"[18,28183,613,0,0]"
42,25868,909,1,1,"[42,25868,909,1,1]"
8,13356,3720,0,1,"[8,13356,3720,0,1]"
24,15441,3116,1,0,"[24,15441,3116,1,0]"
6,22418,2618,0,1,"[6,22418,2618,0,1]"
10,25700,2368,0,1,"[10,25700,2368,0,1]"
41,16514,1999,1,0,"[41,16514,1999,1,0]"
40,7522,3581,0,0,"[40,7522,3581,0,0]"
34,29955,1371,0,1,"[34,29955,1371,0,1]"
60,8770,679,0,1,"[60,8770,679,0,1]"
31,26576,3879,1,0,"[31,26576,3879,1,0]"
31,17529,53,0,1,"[31,17529,53,0,1]"
62,15940,1260,1,1,"[62,15940,1260,1,1]"
29,19361,2272,1,1,"[29,19361,2272,1,1]"
63,3034,3530,1,1,"[63,3034,3530,1,1]"
41,21769,2096,0,1,"[41,21769,2096,0,1]"
51,17891,738,0,1,"[51,17891,738,0,1]"
37,19013,3790,1,0,"[37,19013,3790,1,0]"
32,6412,3954,0,1,"[32,6412,3954,0,1]"
38,30376,1720,0,0,"[38,30376,1720,0,0]"
29,23281,3630,1,0,"[29,23281,3630,1,0]"
15,7353,3356,0,1,"[15,7353,3356,0,1]"
39,26879,2287,0,0,"[39,26879,2287,0,0]"
13,17242,440,0,1,"[13,17242,440,0,1]"
46,25960,1289,0,0,"[46,25960,1289,0,0]"
3,30057,3726,0,0,"[3,30057,3726,0,0]"
58,18424,529,1,1,"[58,18424,529,1,1]"
62,26294,2907,1,1,"[62,26294,2907,1,1]"
49,12570,1582,0,0,"[49,12570,1582,0,0]"
63,31332,2766,0,1,"[63,31332,2766,0,1]"
2,28930,562,1,1,"[2,28930,562,1,1]"
13,14359,2948,0,1,"[13,14359,2948,0,1]"
15,5754,152,1,0,"[15,5754,152,1,0]"
21,28665,2876,0,0,"[21,28665,2876,0,0]"
23,29578,2494,0,1,"[23,29578,2494,0,1]"
34,28673,1269,1,0,"[34,28673,1269,1,0]"
5,1524,295,0,1,"[5,1524,295,0,1]"
12,12548,24,0,1,"[12,12548,24,0,1]"
64,25957,1992,1,1,"[64,25957,1992,1,1]"
64,19514,2637,0,1,"[64,19514,2637,0,1]"
3,30832,939,1,0,"[3,30832,939,1,0]"
40,29268,2355,1,1,"[40,29268,2355,1,1]"
30,10678,1695,1,0,"[30,10678,1695,1,0]"
51,22160,1688,1,0,"[51,22160,1688,1,0]"
20,24002,1501,0,0,"[20,24002,1501,0,0]"
63,2922,1122,0,1,"[63,2922,1122,0,1]"
25,970,1694,1,1,"[25,970,1694,1,1]"
6,18001,2960,0,1,"[6,18001,2960,0,1]"
13,29706,1137,0,1,"[13,29706,1137,0,1]"
18,17139,3278,0,0,"[18,17139,3278,0,0]"
47,13448,2971,1,0,"[47,13448,2971,1,0]"
36,25682,2673,1,1,"[36,25682,2673,1,1]"
18,14447,1602,0,0,"[18,14447,1602,0,0]"
39,31382,455,0,0,"[39,31382,455,0,0]"
32,26014,3896,0,0,"[32,26014,3896,0,0]"
42,1657,960,1,1,"[42,1657,960,1,1]"
44,29158,560,0,0,"[44,29158,560,0,0]"
36,10063,2564,0,1,"[36,10063,2564,0,1]"
39,6577,1712,0,1,"[39,6577,1712,0,1]"
37,30841,2550,1,0,"[37,30841,2550,1,0]"
2,13592,1126,1,0,"[2,13592,1126,1,0]"
62,21950,2715,1,0,"[62,21950,2715,1,0]"
41,27057,3475,0,1,"[41,27057,3475,0,1]"
60,7706,1572,1,1,"[60,7706,1572,1,1]"
24,32644,157,1,0,"[24,32644,157,1,0]"
38,29611,1313,1,1,"[38,29611,1313,1,1]"
54,15593,3979,1,1,"[54,15593,3979,1,1]"
14,3020,3745,0,1,"[14,3020,3745,0,1]"
38,24145,1909,0,0,"[38,24145,1909,0,0]"
17,22390,4044,0,0,"[17,22390,4044,0,0]"
24,14689,3156,0,1,"[24,14689,3156,0,1]"
44,22936,3540,1,0,"[44,22936,3540,1,0]"
34,7053,1440,1,0,"[34,7053,1440,1,0]"
58,31054,1645,1,1,"[58,31054,1645,1,1]"
30,31793,3803,1,0,"[30,31793,3803,1,0]"
11,15601,2354,1,1,"[11,15601,2354,1,1]"
14,31498,2689,1,1,"[14,31498,2689,1,1]"
40,9451,2984,0,0,"[40,9451,2984,0,0]"
23,24124,3218,0,1,"[23,24124,3218,0,1]"
10,25010,1608,0,1,"[10,25010,1608,0,1]"
14,12436,2704,1,0,"[14,12436,2704,1,0]"
23,15794,3859,0,1,"[23,15794,3859,0,1]"
21,4663,1242,1,1,"[21,4663,1242,1,1]"
17,16093,1426,1,1,"[17,16093,1426,1,1]"
18,27209,3403,1,1,"[18,27209,3403,1,1]"
10,12680,2207,0,0,"[10,12680,2207,0,0]"
40,13996,2088,0,0,"[40,13996,2088,0,0]"
15,3989,429,0,0,"[15,3989,429,0,0]"
53,11915,1793,0,0,"[53,11915,1793,0,0]"
52,1491,1344,0,0,"[52,1491,1344,0,0]"
37,28307,1019,0,1,"[37,28307,1019,0,1]"
15,19419,3604,1,1,"[15,19419,3604,1,1]"
10,22061,2496,1,1,"[10,22061,2496,1,1]"
31,21072,3844,1,0,"[31,21072,3844,1,0]"
7,4368,3635,1,1,"[7,4368,3635,1,1]"
28,19418,1443,0,1,"[28,19418,1443,0,1]"
33,8982,2405,1,1,"[33,8982,2405,1,1]"
60,8198,3749,1,1,"[60,8198,3749,1,1]"
54,31550,4083,0,1,"[54,31550,4083,0,1]"
34,6750,1925,0,1,"[34,6750,1925,0,1]"
6,21191,166,0,1,"[6,21191,166,0,1]"
64,13344,3661,1,1,"[64,13344,3661,1,1]"
16,4101,1343,1,1,"[16,4101,1343,1,1]"
49,24796,1683,0,0,"[49,24796,1683,0,0]"
22,7139,1485,0,1,"[22,7139,1485,0,1]"
27,3850,96,0,1,"[27,3850,96,0,1]"
63,15891,1592,0,0,"[63,15891,1592,0,0]"
38,31420,1141,1,0,"[38,31420,1141,1,0]"
20,13458,1709,0,1,"[20,13458,1709,0,1]"
38,32030,3497,1,1,"[38,32030,3497,1,1]"
49,24557,3510,0,0,"[49,24557,3510,0,0]"
59,23599,3271,0,0,"[59,23599,3271,0,0]"
57,30640,2167,0,0,"[57,30640,2167,0,0]"
36,27144,902,1,0,"[36,27144,902,1,0]"
45,31007,1281,1,0,"[45,31007,1281,1,0]"
54,19230,3761,0,0,"[54,19230,3761,0,0]"
59,29584,571,1,0,"[59,29584,571,1,0]"
25,25106,1429,0,0,"[25,25106,1429,0,0]"
42,27100,2206,0,0,"[42,27100,2206,0,0]"
28,26187,1551,0,0,"[28,26187,1551,0,0]"
16,26947,673,1,1,"[16,26947,673,1,1]"
37,1256,1641,1,0,"[37,1256,1641,1,0]"
23,18197,1030,0,0,"[23,18197,1030,0,0]"
64,11848,4058,0,1,"[64,11848,4058,0,1]"
55,28404,1472,1,0,"[55,28404,1472,1,0]"
15,2079,2259,1,0,"[15,2079,2259,1,0]"
20,21678,3896,0,0,"[20,21678,3896,0,0]"
41,30596,1416,1,0,"[41,30596,1416,1,0]"
59,29548,1912,1,1,"[59,29548,1912,1,1]"
22,2095,2169,1,0,"[22,2095,2169,1,0]"
51,18292,2234,1,1,"[51,18292,2234,1,1]"
62,17671,4015,0,1,"[62,17671,4015,0,1]"
17,10776,703,1,0,"[17,10776,703,1,0]"
64,21068,3033,0,1,"[64,21068,3033,0,1]"
39,11175,3956,0,1,"[39,11175,3956,0,1]"
55,12378,2454,1,1,"[55,12378,2454,1,1]"
53,21686,1527,1,1,"[53,21686,1527,1,1]"
40,577,2941,1,1,"[40,577,2941,1,1]"
52,20972,3790,0,1,"[52,20972,3790,0,1]"
56,29582,1669,0,1,"[56,29582,1669,0,1]"
24,15772,199,1,0,"[24,15772,199,1,0]"
59,5326,3194,0,1,"[59,5326,3194,0,1]"
18,20623,3812,0,1,"[18,20623,3812,0,1]"
53,21901,1630,0,0,"[53,21901,1630,0,0]"
8,24766,3557,1,0,"[8,24766,3557,1,0]"
56,15016,3881,0,1,"[56,15016,3881,0,1]"
49,29443,1984,1,0,"[49,29443,1984,1,0]"
24,22550,3717,1,1,"[24,22550,3717,1,1]"
11,25172,3517,1,1,"[11,25172,3517,1,1]"
4,11602,171,1,0,"[4,11602,171,1,0]"
31,30009,3332,0,1,"[31,30009,3332,0,1]"
35,19129,3687,1,0,"[35,19129,3687,1,0]"
44,25441,2442,1,1,"[44,25441,2442,1,1]"
60,1029,1719,1,1,"[60,1029,1719,1,1]"
58,10456,1776,1,0,"[58,10456,1776,1,0]"
18,7649,972,1,0,"[18,7649,972,1,0]"
5,137,2347,0,1,"[5,137,2347,0,1]"
56,27841,2064,1,0,"[56,27841,2064,1,0]"
11,27155,3827,0,0,"[11,27155,3827,0,0]"
62,4862,2673,0,1,"[62,4862,2673,0,1]"
51,23192,1441,0,0,"[51,23192,1441,0,0]"
35,7781,194,1,1,"[35,7781,194,1,1]"
21,21755,332,0,1,"[21,21755,332,0,1]"
44,22026,1437,1,0,"[44,22026,1437,1,0]"
7,32727,3216,1,0,"[7,32727,3216,1,0]"
22,11275,420,1,1,"[22,11275,420,1,1]"
18,20459,176,1,1,"[18,20459,176,1,1]"
40,29367,3994,1,1,"[40,29367,3994,1,1]"
17,12017,2966,1,1,"[17,12017,2966,1,1]"
12,2419,147,1,0,"[12,2419,147,1,0]"
15,15337,579,1,0,"[15,15337,579,1,0]"
43,28361,3349,0,0,"[43,28361,3349,0,0]"
44,29467,3848,0,0,"[44,29467,3848,0,0]"
23,20291,2633,0,1,"[23,20291,2633,0,1]"
39,21087,2478,1,0,"[39,21087,2478,1,0]"
27,25548,648,0,1,"[27,25548,648,0,1]"
47,23226,2583,0,0,"[47,23226,2583,0,0]"
59,2335,76,0,0,"[59,2335,76,0,0]"
33,21823,3140,0,0,"[33,21823,3140,0,0]"
1,8854,1033,1,1,"[1,8854,1033,1,1]"
61,10056,1814,1,1,"[61,10056,1814,1,1]"
32,13559,3044,1,0,"[32,13559,3044,1,0]"
28,6993,569,1,1,"[28,6993,569,1,1]"
55,10005,434,0,1,"[55,10005,434,0,1]"
35,21458,2565,1,1,"[35,21458,2565,1,1]"
50,9170,4049,1,0,"[50,9170,4049,1,0]"
4,6090,1193,0,1,"[4,6090,1193,0,1]"
3,5202,1546,1,1,"[3,5202,1546,1,1]"
43,14648,2469,0,0,"[43,14648,2469,0,0]"
5,8891,1065,1,0,"[5,8891,1065,1,0]"
41,5891,1678,0,1,"[41,5891,1678,0,1]"
54,28321,2901,0,0,"[54,28321,2901,0,0]"
43,14967,3314,1,0,"[43,14967,3314,1,0]"
37,13044,4064,1,0,"[37,13044,4064,1,0]"
47,13578,5,0,1,"[47,13578,5,0,1]"
38,15807,3313,1,0,"[38,15807,3313,1,0]"
37,29984,1275,0,1,"[37,29984,1275,0,1]"
24,4613,786,1,1,"[24,4613,786,1,1]"
7,21053,1898,0,1,"[7,21053,1898,0,1]"
32,8212,2886,0,0,"[32,8212,2886,0,0]"
25,23538,2987,0,0,"[25,23538,2987,0,0]"
2,6133,2899,1,0,"[2,6133,2899,1,0]"
48,27161,2777,0,1,"[48,27161,2777,0,1]"
43,14123,2941,0,1,"[43,14123,2941,0,1]"
5,19350,3449,0,0,"[5,19350,3449,0,0]"
61,15947,1484,0,1,"[61,15947,1484,0,1]"
54,4688,3955,0,0,"[54,4688,3955,0,0]"
59,7919,3695,1,1,"[59,7919,3695,1,1]"
20,17110,2382,1,0,"[20,17110,2382,1,0]"
57,18319,1483,0,1,"[57,18319,1483,0,1]"
42,19201,3135,1,0,"[42,19201,3135,1,0]"
48,26852,3802,0,1,"[48,26852,3802,0,1]"
24,3312,3519,1,1,"[24,3312,3519,1,1]"
34,19905,1385,0,0,"[34,19905,1385,0,0]"
28,4732,2658,0,0,"[28,4732,2658,0,0]"
13,26849,2018,0,0,"[13,26849,2018,0,0]"
62,26453,4094,1,0,"[62,26453,4094,1,0]"
35,20271,2471,1,1,"[35,20271,2471,1,1]"
36,4868,3238,1,0,"[36,4868,3238,1,0]"
54,18138,2517,0,0,"[54,18138,2517,0,0]"
54,20797,844,0,1,"[54,20797,844,0,1]"
62,29265,3099,0,0,"[62,29265,3099,0,0]"
63,17733,837,1,1,"[63,17733,837,1,1]"
24,29163,2020,0,1,"[24,29163,2020,0,1]"
39,7956,3515,0,1,"[39,7956,3515,0,1]"
59,18917,3690,1,0,"[59,18917,3690,1,0]"
32,12538,2261,0,1,"[32,12538,2261,0,1]"
55,19468,3496,0,1,"[55,19468,3496,0,1]"
64,24211,4034,1,1,"[64,24211,4034,1,1]"
12,21681,2209,0,0,"[12,21681,2209,0,0]"
43,2098,854,0,1,"[43,2098,854,0,1]"
46,9976,763,0,0,"[46,9976,763,0,0]"
60,11288,1526,1,0,"[60,11288,1526,1,0]"
48,30425,1373,1,0,"[48,30425,1373,1,0]"
24,3165,1400,1,0,"[24,3165,1400,1,0]"
28,31496,2465,1,0,"[28,31496,2465,1,0]"
33,28531,1622,1,0,"[33,28531,1622,1,0]"
21,27850,1716,1,1,"[21,27850,1716,1,1]"
31,26993,502,0,1,"[31,26993,502,0,1]"
9,19832,3285,0,0,"[9,19832,3285,0,0]"
