batchsize,matsize,channels_in,poolsize,strides,padding,elements_matrix,hashkey
41,274,26,6,2,0,75076,"[41,274,26,6,2,0,75076]"
33,255,12,1,1,1,65025,"[33,255,12,1,1,1,65025]"
45,178,46,1,4,1,31684,"[45,178,46,1,4,1,31684]"
53,483,10,3,1,0,233289,"[53,483,10,3,1,0,233289]"
51,328,17,6,2,1,107584,"[51,328,17,6,2,1,107584]"
2,202,1,1,3,1,40804,"[2,202,1,1,3,1,40804]"
53,190,7,6,2,0,36100,"[53,190,7,6,2,0,36100]"
38,490,3,1,3,0,240100,"[38,490,3,1,3,0,240100]"
35,269,2,5,2,0,72361,"[35,269,2,5,2,0,72361]"
2,71,16,3,2,0,5041,"[2,71,16,3,2,0,5041]"
25,330,29,4,2,0,108900,"[25,330,29,4,2,0,108900]"
52,229,8,4,3,1,52441,"[52,229,8,4,3,1,52441]"
47,84,33,3,3,1,7056,"[47,84,33,3,3,1,7056]"
21,222,30,1,4,0,49284,"[21,222,30,1,4,0,49284]"
12,414,3,4,4,1,171396,"[12,414,3,4,4,1,171396]"
13,110,50,4,3,1,12100,"[13,110,50,4,3,1,12100]"
58,234,28,3,2,0,54756,"[58,234,28,3,2,0,54756]"
15,424,6,7,2,0,179776,"[15,424,6,7,2,0,179776]"
41,75,122,7,2,1,5625,"[41,75,122,7,2,1,5625]"
62,477,10,3,1,1,227529,"[62,477,10,3,1,1,227529]"
50,112,37,2,3,0,12544,"[50,112,37,2,3,0,12544]"
6,7,454,4,1,1,49,"[6,7,454,4,1,1,49]"
22,292,3,4,3,0,85264,"[22,292,3,4,3,0,85264]"
17,25,106,6,1,0,625,"[17,25,106,6,1,0,625]"
42,49,181,4,3,1,2401,"[42,49,181,4,3,1,2401]"
63,495,13,7,3,1,245025,"[63,495,13,7,3,1,245025]"
59,149,8,7,1,1,22201,"[59,149,8,7,1,1,22201]"
5,487,15,4,4,1,237169,"[5,487,15,4,4,1,237169]"
16,394,6,5,1,0,155236,"[16,394,6,5,1,0,155236]"
51,498,9,5,1,0,248004,"[51,498,9,5,1,0,248004]"
40,401,1,1,4,0,160801,"[40,401,1,1,4,0,160801]"
18,217,43,5,4,0,47089,"[18,217,43,5,4,0,47089]"
44,101,68,1,3,0,10201,"[44,101,68,1,3,0,10201]"
45,440,2,5,4,1,193600,"[45,440,2,5,4,1,193600]"
30,255,4,1,3,1,65025,"[30,255,4,1,3,1,65025]"
49,314,17,5,2,1,98596,"[49,314,17,5,2,1,98596]"
14,230,8,6,3,1,52900,"[14,230,8,6,3,1,52900]"
30,498,14,7,2,1,248004,"[30,498,14,7,2,1,248004]"
22,406,14,5,2,0,164836,"[22,406,14,5,2,0,164836]"
32,270,20,6,1,0,72900,"[32,270,20,6,1,0,72900]"
12,382,19,4,2,0,145924,"[12,382,19,4,2,0,145924]"
53,252,38,5,1,0,63504,"[53,252,38,5,1,0,63504]"
9,14,641,4,1,0,196,"[9,14,641,4,1,0,196]"
6,261,29,4,2,0,68121,"[6,261,29,4,2,0,68121]"
7,500,13,1,3,0,250000,"[7,500,13,1,3,0,250000]"
49,181,36,1,1,0,32761,"[49,181,36,1,1,0,32761]"
12,87,17,2,3,1,7569,"[12,87,17,2,3,1,7569]"
32,210,34,6,4,1,44100,"[32,210,34,6,4,1,44100]"
52,203,9,7,2,0,41209,"[52,203,9,7,2,0,41209]"
59,481,1,3,4,0,231361,"[59,481,1,3,4,0,231361]"
28,144,59,6,4,1,20736,"[28,144,59,6,4,1,20736]"
31,168,31,3,2,0,28224,"[31,168,31,3,2,0,28224]"
11,69,83,7,3,0,4761,"[11,69,83,7,3,0,4761]"
57,381,25,1,2,0,145161,"[57,381,25,1,2,0,145161]"
40,252,35,4,4,0,63504,"[40,252,35,4,4,0,63504]"
39,471,1,5,1,1,221841,"[39,471,1,5,1,1,221841]"
4,167,11,2,4,1,27889,"[4,167,11,2,4,1,27889]"
47,109,16,2,4,1,11881,"[47,109,16,2,4,1,11881]"
39,120,25,5,3,1,14400,"[39,120,25,5,3,1,14400]"
21,115,29,3,1,1,13225,"[21,115,29,3,1,1,13225]"
15,330,20,2,1,0,108900,"[15,330,20,2,1,0,108900]"
21,87,78,1,4,1,7569,"[21,87,78,1,4,1,7569]"
4,298,20,5,3,0,88804,"[4,298,20,5,3,0,88804]"
37,494,8,2,2,1,244036,"[37,494,8,2,2,1,244036]"
41,300,24,3,4,0,90000,"[41,300,24,3,4,0,90000]"
22,87,60,5,1,0,7569,"[22,87,60,5,1,0,7569]"
17,121,33,6,3,1,14641,"[17,121,33,6,3,1,14641]"
35,337,16,2,2,0,113569,"[35,337,16,2,2,0,113569]"
23,257,34,7,4,0,66049,"[23,257,34,7,4,0,66049]"
23,250,21,7,1,1,62500,"[23,250,21,7,1,1,62500]"
29,78,19,2,2,1,6084,"[29,78,19,2,2,1,6084]"
27,37,7,5,3,1,1369,"[27,37,7,5,3,1,1369]"
22,116,1,5,3,1,13456,"[22,116,1,5,3,1,13456]"
40,137,13,7,2,0,18769,"[40,137,13,7,2,0,18769]"
48,70,14,7,3,1,4900,"[48,70,14,7,3,1,4900]"
22,360,11,5,4,0,129600,"[22,360,11,5,4,0,129600]"
15,292,33,6,4,1,85264,"[15,292,33,6,4,1,85264]"
18,350,23,2,4,0,122500,"[18,350,23,2,4,0,122500]"
7,94,68,7,3,0,8836,"[7,94,68,7,3,0,8836]"
56,270,16,5,2,1,72900,"[56,270,16,5,2,1,72900]"
20,57,22,5,3,0,3249,"[20,57,22,5,3,0,3249]"
57,275,10,5,1,0,75625,"[57,275,10,5,1,0,75625]"
17,210,46,3,4,0,44100,"[17,210,46,3,4,0,44100]"
16,413,21,5,3,0,170569,"[16,413,21,5,3,0,170569]"
63,441,9,5,3,1,194481,"[63,441,9,5,3,1,194481]"
50,471,7,6,2,0,221841,"[50,471,7,6,2,0,221841]"
4,447,18,4,3,0,199809,"[4,447,18,4,3,0,199809]"
10,222,35,2,2,0,49284,"[10,222,35,2,2,0,49284]"
9,307,20,3,3,0,94249,"[9,307,20,3,3,0,94249]"
63,397,12,7,2,0,157609,"[63,397,12,7,2,0,157609]"
15,321,22,5,3,1,103041,"[15,321,22,5,3,1,103041]"
10,15,70,6,2,0,225,"[10,15,70,6,2,0,225]"
15,313,15,3,1,1,97969,"[15,313,15,3,1,1,97969]"
25,284,25,2,4,1,80656,"[25,284,25,2,4,1,80656]"
57,243,25,1,4,1,59049,"[57,243,25,1,4,1,59049]"
51,118,25,1,4,0,13924,"[51,118,25,1,4,0,13924]"
52,38,10,4,3,0,1444,"[52,38,10,4,3,0,1444]"
6,82,51,1,4,0,6724,"[6,82,51,1,4,0,6724]"
30,272,13,4,4,0,73984,"[30,272,13,4,4,0,73984]"
27,230,1,7,1,1,52900,"[27,230,1,7,1,1,52900]"
44,188,43,7,3,1,35344,"[44,188,43,7,3,1,35344]"
52,333,1,5,1,1,110889,"[52,333,1,5,1,1,110889]"
42,478,10,7,2,0,228484,"[42,478,10,7,2,0,228484]"
46,180,37,4,4,0,32400,"[46,180,37,4,4,0,32400]"
5,334,20,2,3,0,111556,"[5,334,20,2,3,0,111556]"
57,414,5,7,1,0,171396,"[57,414,5,7,1,0,171396]"
60,89,68,7,1,1,7921,"[60,89,68,7,1,1,7921]"
45,436,9,1,4,1,190096,"[45,436,9,1,4,1,190096]"
14,334,21,5,1,1,111556,"[14,334,21,5,1,1,111556]"
51,181,9,2,1,1,32761,"[51,181,9,2,1,1,32761]"
9,391,11,3,3,1,152881,"[9,391,11,3,3,1,152881]"
18,497,18,6,2,0,247009,"[18,497,18,6,2,0,247009]"
20,419,12,3,2,1,175561,"[20,419,12,3,2,1,175561]"
13,245,21,5,3,0,60025,"[13,245,21,5,3,0,60025]"
59,319,17,3,1,1,101761,"[59,319,17,3,1,1,101761]"
44,476,2,3,2,1,226576,"[44,476,2,3,2,1,226576]"
33,280,30,1,3,1,78400,"[33,280,30,1,3,1,78400]"
42,344,19,5,4,0,118336,"[42,344,19,5,4,0,118336]"
21,353,17,6,2,1,124609,"[21,353,17,6,2,1,124609]"
11,164,11,3,1,0,26896,"[11,164,11,3,1,0,26896]"
10,10,604,4,4,1,100,"[10,10,604,4,4,1,100]"
29,335,21,6,3,0,112225,"[29,335,21,6,3,0,112225]"
50,78,35,6,3,1,6084,"[50,78,35,6,3,1,6084]"
22,208,15,2,2,0,43264,"[22,208,15,2,2,0,43264]"
10,107,7,4,3,0,11449,"[10,107,7,4,3,0,11449]"
61,430,10,4,4,1,184900,"[61,430,10,4,4,1,184900]"
8,189,8,2,2,0,35721,"[8,189,8,2,2,0,35721]"
54,80,71,6,1,1,6400,"[54,80,71,6,1,1,6400]"
18,206,8,1,1,1,42436,"[18,206,8,1,1,1,42436]"
29,422,22,1,1,1,178084,"[29,422,22,1,1,1,178084]"
4,454,4,1,1,0,206116,"[4,454,4,1,1,0,206116]"
8,407,20,6,4,0,165649,"[8,407,20,6,4,0,165649]"
34,465,3,4,4,1,216225,"[34,465,3,4,4,1,216225]"
61,40,140,5,3,0,1600,"[61,40,140,5,3,0,1600]"
19,430,10,2,2,1,184900,"[19,430,10,2,2,1,184900]"
51,237,27,5,1,1,56169,"[51,237,27,5,1,1,56169]"
33,125,9,6,4,1,15625,"[33,125,9,6,4,1,15625]"
4,304,31,6,4,1,92416,"[4,304,31,6,4,1,92416]"
55,389,20,3,4,1,151321,"[55,389,20,3,4,1,151321]"
25,195,33,4,1,0,38025,"[25,195,33,4,1,0,38025]"
63,165,29,5,4,0,27225,"[63,165,29,5,4,0,27225]"
12,460,15,1,4,1,211600,"[12,460,15,1,4,1,211600]"
21,129,30,1,1,0,16641,"[21,129,30,1,1,0,16641]"
43,487,1,2,2,0,237169,"[43,487,1,2,2,0,237169]"
53,161,37,2,1,1,25921,"[53,161,37,2,1,1,25921]"
27,105,39,4,1,1,11025,"[27,105,39,4,1,1,11025]"
44,389,7,1,2,1,151321,"[44,389,7,1,2,1,151321]"
25,220,43,4,1,1,48400,"[25,220,43,4,1,1,48400]"
47,297,15,1,2,0,88209,"[47,297,15,1,2,0,88209]"
59,125,68,1,1,1,15625,"[59,125,68,1,1,1,15625]"
50,464,20,4,4,0,215296,"[50,464,20,4,4,0,215296]"
5,36,37,5,1,1,1296,"[5,36,37,5,1,1,1296]"
7,366,16,4,3,1,133956,"[7,366,16,4,3,1,133956]"
21,271,8,5,4,1,73441,"[21,271,8,5,4,1,73441]"
34,289,5,2,2,0,83521,"[34,289,5,2,2,0,83521]"
15,435,6,7,4,0,189225,"[15,435,6,7,4,0,189225]"
40,306,8,4,3,1,93636,"[40,306,8,4,3,1,93636]"
47,15,413,1,2,0,225,"[47,15,413,1,2,0,225]"
16,253,30,2,3,1,64009,"[16,253,30,2,3,1,64009]"
1,15,581,5,2,1,225,"[1,15,581,5,2,1,225]"
35,320,14,4,4,0,102400,"[35,320,14,4,4,0,102400]"
13,189,22,3,2,0,35721,"[13,189,22,3,2,0,35721]"
23,392,10,3,4,0,153664,"[23,392,10,3,4,0,153664]"
38,29,243,1,4,1,841,"[38,29,243,1,4,1,841]"
53,65,24,2,3,1,4225,"[53,65,24,2,3,1,4225]"
38,52,26,1,2,0,2704,"[38,52,26,1,2,0,2704]"
3,215,43,5,2,0,46225,"[3,215,43,5,2,0,46225]"
21,84,24,4,3,1,7056,"[21,84,24,4,3,1,7056]"
22,353,26,3,1,1,124609,"[22,353,26,3,1,1,124609]"
55,170,44,6,4,1,28900,"[55,170,44,6,4,1,28900]"
19,393,13,1,4,1,154449,"[19,393,13,1,4,1,154449]"
53,81,69,2,2,1,6561,"[53,81,69,2,2,1,6561]"
40,70,44,3,4,1,4900,"[40,70,44,3,4,1,4900]"
3,10,67,5,2,0,100,"[3,10,67,5,2,0,100]"
30,357,6,5,3,1,127449,"[30,357,6,5,3,1,127449]"
40,435,15,3,3,0,189225,"[40,435,15,3,3,0,189225]"
16,480,8,2,1,0,230400,"[16,480,8,2,1,0,230400]"
32,334,12,3,4,0,111556,"[32,334,12,3,4,0,111556]"
19,277,15,3,1,0,76729,"[19,277,15,3,1,0,76729]"
13,46,200,5,2,1,2116,"[13,46,200,5,2,1,2116]"
56,185,35,5,1,1,34225,"[56,185,35,5,1,1,34225]"
9,386,12,4,4,0,148996,"[9,386,12,4,4,0,148996]"
62,181,9,4,3,1,32761,"[62,181,9,4,3,1,32761]"
42,45,216,6,1,1,2025,"[42,45,216,6,1,1,2025]"
53,327,28,3,4,1,106929,"[53,327,28,3,4,1,106929]"
52,44,122,1,4,1,1936,"[52,44,122,1,4,1,1936]"
54,185,2,1,2,1,34225,"[54,185,2,1,2,1,34225]"
58,76,60,1,2,1,5776,"[58,76,60,1,2,1,5776]"
62,390,20,4,4,0,152100,"[62,390,20,4,4,0,152100]"
50,308,13,2,3,0,94864,"[50,308,13,2,3,0,94864]"
38,47,163,7,3,1,2209,"[38,47,163,7,3,1,2209]"
60,83,82,1,4,1,6889,"[60,83,82,1,4,1,6889]"
2,498,6,1,3,0,248004,"[2,498,6,1,3,0,248004]"
47,364,14,2,4,1,132496,"[47,364,14,2,4,1,132496]"
62,502,4,7,2,0,252004,"[62,502,4,7,2,0,252004]"
56,100,60,2,1,0,10000,"[56,100,60,2,1,0,10000]"
22,122,7,7,1,1,14884,"[22,122,7,7,1,1,14884]"
29,95,38,7,3,1,9025,"[29,95,38,7,3,1,9025]"
40,215,45,4,2,1,46225,"[40,215,45,4,2,1,46225]"
15,243,40,2,2,1,59049,"[15,243,40,2,2,1,59049]"
5,236,10,3,2,0,55696,"[5,236,10,3,2,0,55696]"
60,405,9,7,2,1,164025,"[60,405,9,7,2,1,164025]"
56,307,19,3,4,1,94249,"[56,307,19,3,4,1,94249]"
22,250,23,5,2,1,62500,"[22,250,23,5,2,1,62500]"
23,385,8,3,3,0,148225,"[23,385,8,3,3,0,148225]"
23,344,23,7,4,1,118336,"[23,344,23,7,4,1,118336]"
56,45,131,6,4,1,2025,"[56,45,131,6,4,1,2025]"
17,268,29,4,4,1,71824,"[17,268,29,4,4,1,71824]"
28,48,63,7,1,0,2304,"[28,48,63,7,1,0,2304]"
60,46,101,7,1,1,2116,"[60,46,101,7,1,1,2116]"
4,501,14,1,2,0,251001,"[4,501,14,1,2,0,251001]"
11,136,45,3,4,1,18496,"[11,136,45,3,4,1,18496]"
9,307,26,3,4,0,94249,"[9,307,26,3,4,0,94249]"
18,173,23,3,1,1,29929,"[18,173,23,3,1,1,29929]"
58,222,15,7,3,0,49284,"[58,222,15,7,3,0,49284]"
59,203,35,3,2,0,41209,"[59,203,35,3,2,0,41209]"
59,168,13,1,4,1,28224,"[59,168,13,1,4,1,28224]"
44,135,35,4,3,0,18225,"[44,135,35,4,3,0,18225]"
7,70,118,7,3,1,4900,"[7,70,118,7,3,1,4900]"
44,449,3,3,4,0,201601,"[44,449,3,3,4,0,201601]"
6,247,6,7,3,1,61009,"[6,247,6,7,3,1,61009]"
46,462,1,5,1,1,213444,"[46,462,1,5,1,1,213444]"
63,444,19,3,3,0,197136,"[63,444,19,3,3,0,197136]"
26,16,587,7,4,1,256,"[26,16,587,7,4,1,256]"
46,312,27,2,2,1,97344,"[46,312,27,2,2,1,97344]"
61,278,32,4,1,0,77284,"[61,278,32,4,1,0,77284]"
14,18,97,7,3,1,324,"[14,18,97,7,3,1,324]"
31,346,24,7,2,0,119716,"[31,346,24,7,2,0,119716]"
35,30,214,3,2,1,900,"[35,30,214,3,2,1,900]"
61,191,37,3,1,1,36481,"[61,191,37,3,1,1,36481]"
34,473,3,7,3,0,223729,"[34,473,3,7,3,0,223729]"
27,459,1,4,4,1,210681,"[27,459,1,4,4,1,210681]"
40,306,9,1,4,1,93636,"[40,306,9,1,4,1,93636]"
55,199,31,6,1,1,39601,"[55,199,31,6,1,1,39601]"
8,419,1,4,2,1,175561,"[8,419,1,4,2,1,175561]"
41,318,13,3,1,0,101124,"[41,318,13,3,1,0,101124]"
6,167,29,4,1,1,27889,"[6,167,29,4,1,1,27889]"
13,375,3,4,1,1,140625,"[13,375,3,4,1,1,140625]"
4,225,41,6,4,1,50625,"[4,225,41,6,4,1,50625]"
62,312,26,4,2,1,97344,"[62,312,26,4,2,1,97344]"
35,278,8,5,2,1,77284,"[35,278,8,5,2,1,77284]"
4,314,21,3,4,1,98596,"[4,314,21,3,4,1,98596]"
47,104,1,7,1,1,10816,"[47,104,1,7,1,1,10816]"
41,113,7,3,4,1,12769,"[41,113,7,3,4,1,12769]"
62,495,10,6,3,0,245025,"[62,495,10,6,3,0,245025]"
22,203,21,3,1,0,41209,"[22,203,21,3,1,0,41209]"
61,264,34,1,3,0,69696,"[61,264,34,1,3,0,69696]"
59,80,64,3,2,0,6400,"[59,80,64,3,2,0,6400]"
12,97,38,2,2,0,9409,"[12,97,38,2,2,0,9409]"
1,40,69,5,2,1,1600,"[1,40,69,5,2,1,1600]"
27,439,18,4,3,0,192721,"[27,439,18,4,3,0,192721]"
18,252,17,6,3,1,63504,"[18,252,17,6,3,1,63504]"
30,92,93,1,3,0,8464,"[30,92,93,1,3,0,8464]"
10,370,17,1,4,1,136900,"[10,370,17,1,4,1,136900]"
44,328,18,3,3,1,107584,"[44,328,18,3,3,1,107584]"
37,252,18,6,2,1,63504,"[37,252,18,6,2,1,63504]"
53,374,13,5,3,1,139876,"[53,374,13,5,3,1,139876]"
27,107,90,4,3,1,11449,"[27,107,90,4,3,1,11449]"
48,256,16,2,3,0,65536,"[48,256,16,2,3,0,65536]"
23,480,12,3,2,0,230400,"[23,480,12,3,2,0,230400]"
8,203,15,3,3,0,41209,"[8,203,15,3,3,0,41209]"
35,426,13,4,3,0,181476,"[35,426,13,4,3,0,181476]"
25,22,236,1,2,0,484,"[25,22,236,1,2,0,484]"
26,234,27,5,3,0,54756,"[26,234,27,5,3,0,54756]"
34,227,22,5,4,1,51529,"[34,227,22,5,4,1,51529]"
40,104,90,4,2,0,10816,"[40,104,90,4,2,0,10816]"
36,289,13,3,3,1,83521,"[36,289,13,3,3,1,83521]"
26,176,34,6,1,1,30976,"[26,176,34,6,1,1,30976]"
29,221,35,2,2,1,48841,"[29,221,35,2,2,1,48841]"
19,407,23,6,1,1,165649,"[19,407,23,6,1,1,165649]"
13,318,23,1,3,1,101124,"[13,318,23,1,3,1,101124]"
35,379,20,7,2,1,143641,"[35,379,20,7,2,1,143641]"
17,159,37,3,1,0,25281,"[17,159,37,3,1,0,25281]"
53,50,44,1,1,1,2500,"[53,50,44,1,1,1,2500]"
23,327,2,1,2,1,106929,"[23,327,2,1,2,1,106929]"
11,325,13,4,2,1,105625,"[11,325,13,4,2,1,105625]"
15,82,73,5,3,0,6724,"[15,82,73,5,3,0,6724]"
14,107,19,5,2,0,11449,"[14,107,19,5,2,0,11449]"
23,251,36,2,3,0,63001,"[23,251,36,2,3,0,63001]"
61,28,167,3,3,0,784,"[61,28,167,3,3,0,784]"
45,27,339,7,2,1,729,"[45,27,339,7,2,1,729]"
45,392,12,7,1,0,153664,"[45,392,12,7,1,0,153664]"
10,456,13,4,2,1,207936,"[10,456,13,4,2,1,207936]"
4,451,9,3,3,1,203401,"[4,451,9,3,3,1,203401]"
34,72,40,5,3,0,5184,"[34,72,40,5,3,0,5184]"
52,419,4,2,2,1,175561,"[52,419,4,2,2,1,175561]"
50,162,60,3,2,1,26244,"[50,162,60,3,2,1,26244]"
10,219,6,3,2,0,47961,"[10,219,6,3,2,0,47961]"
27,460,12,3,2,0,211600,"[27,460,12,3,2,0,211600]"
7,51,187,7,2,1,2601,"[7,51,187,7,2,1,2601]"
45,478,4,2,1,0,228484,"[45,478,4,2,1,0,228484]"
4,347,19,4,3,1,120409,"[4,347,19,4,3,1,120409]"
16,455,12,1,1,0,207025,"[16,455,12,1,1,0,207025]"
34,142,55,6,4,1,20164,"[34,142,55,6,4,1,20164]"
23,190,22,4,3,0,36100,"[23,190,22,4,3,0,36100]"
55,13,662,6,1,0,169,"[55,13,662,6,1,0,169]"
15,475,17,6,3,0,225625,"[15,475,17,6,3,0,225625]"
51,478,9,7,1,1,228484,"[51,478,9,7,1,1,228484]"
27,118,46,6,2,1,13924,"[27,118,46,6,2,1,13924]"
47,8,693,5,2,1,64,"[47,8,693,5,2,1,64]"
23,219,35,4,3,1,47961,"[23,219,35,4,3,1,47961]"
39,380,15,2,4,1,144400,"[39,380,15,2,4,1,144400]"
1,184,37,1,1,0,33856,"[1,184,37,1,1,0,33856]"
31,434,18,1,3,0,188356,"[31,434,18,1,3,0,188356]"
5,51,103,3,4,0,2601,"[5,51,103,3,4,0,2601]"
49,266,4,4,4,0,70756,"[49,266,4,4,4,0,70756]"
57,106,46,6,4,0,11236,"[57,106,46,6,4,0,11236]"
47,248,6,6,3,1,61504,"[47,248,6,6,3,1,61504]"
46,458,10,4,4,1,209764,"[46,458,10,4,4,1,209764]"
29,301,6,6,3,0,90601,"[29,301,6,6,3,0,90601]"
12,433,2,3,4,1,187489,"[12,433,2,3,4,1,187489]"
44,120,18,3,4,1,14400,"[44,120,18,3,4,1,14400]"
58,448,7,2,2,1,200704,"[58,448,7,2,2,1,200704]"
27,294,2,3,3,0,86436,"[27,294,2,3,3,0,86436]"
14,124,71,2,1,0,15376,"[14,124,71,2,1,0,15376]"
17,249,38,1,1,1,62001,"[17,249,38,1,1,1,62001]"
38,53,115,2,2,0,2809,"[38,53,115,2,2,0,2809]"
13,84,71,2,1,1,7056,"[13,84,71,2,1,1,7056]"
5,117,59,6,4,0,13689,"[5,117,59,6,4,0,13689]"
12,183,4,7,2,0,33489,"[12,183,4,7,2,0,33489]"
1,446,7,4,4,0,198916,"[1,446,7,4,4,0,198916]"
27,273,27,2,4,1,74529,"[27,273,27,2,4,1,74529]"
28,87,26,7,2,0,7569,"[28,87,26,7,2,0,7569]"
64,424,6,6,1,1,179776,"[64,424,6,6,1,1,179776]"
43,245,1,2,3,1,60025,"[43,245,1,2,3,1,60025]"
6,7,1085,4,2,0,49,"[6,7,1085,4,2,0,49]"
7,6,625,5,4,1,36,"[7,6,625,5,4,1,36]"
10,203,1,3,4,1,41209,"[10,203,1,3,4,1,41209]"
36,117,24,7,1,0,13689,"[36,117,24,7,1,0,13689]"
18,485,18,2,1,1,235225,"[18,485,18,2,1,1,235225]"
42,287,6,7,4,1,82369,"[42,287,6,7,4,1,82369]"
55,266,30,2,3,0,70756,"[55,266,30,2,3,0,70756]"
47,109,81,3,4,1,11881,"[47,109,81,3,4,1,11881]"
35,433,4,4,2,0,187489,"[35,433,4,4,2,0,187489]"
41,342,4,1,1,1,116964,"[41,342,4,1,1,1,116964]"
37,258,16,6,2,0,66564,"[37,258,16,6,2,0,66564]"
4,389,4,5,4,0,151321,"[4,389,4,5,4,0,151321]"
51,82,61,6,2,0,6724,"[51,82,61,6,2,0,6724]"
5,414,19,4,4,1,171396,"[5,414,19,4,4,1,171396]"
42,152,42,3,2,0,23104,"[42,152,42,3,2,0,23104]"
40,369,14,5,1,0,136161,"[40,369,14,5,1,0,136161]"
3,67,4,7,2,0,4489,"[3,67,4,7,2,0,4489]"
34,216,38,1,1,0,46656,"[34,216,38,1,1,0,46656]"
30,43,5,6,2,0,1849,"[30,43,5,6,2,0,1849]"
12,463,19,5,4,0,214369,"[12,463,19,5,4,0,214369]"
12,122,63,1,3,1,14884,"[12,122,63,1,3,1,14884]"
46,306,16,1,4,1,93636,"[46,306,16,1,4,1,93636]"
11,183,37,2,3,1,33489,"[11,183,37,2,3,1,33489]"
55,263,4,5,4,0,69169,"[55,263,4,5,4,0,69169]"
23,159,18,4,3,0,25281,"[23,159,18,4,3,0,25281]"
58,443,6,1,3,1,196249,"[58,443,6,1,3,1,196249]"
52,199,2,6,2,1,39601,"[52,199,2,6,2,1,39601]"
30,395,3,6,2,1,156025,"[30,395,3,6,2,1,156025]"
23,264,33,4,1,0,69696,"[23,264,33,4,1,0,69696]"
4,252,26,4,2,0,63504,"[4,252,26,4,2,0,63504]"
52,79,15,4,2,0,6241,"[52,79,15,4,2,0,6241]"
47,417,18,1,2,1,173889,"[47,417,18,1,2,1,173889]"
47,391,24,5,2,0,152881,"[47,391,24,5,2,0,152881]"
10,262,35,4,4,1,68644,"[10,262,35,4,4,1,68644]"
24,208,25,1,1,1,43264,"[24,208,25,1,1,1,43264]"
12,121,72,2,2,0,14641,"[12,121,72,2,2,0,14641]"
35,262,14,2,4,1,68644,"[35,262,14,2,4,1,68644]"
46,207,28,4,4,1,42849,"[46,207,28,4,4,1,42849]"
58,122,46,7,2,0,14884,"[58,122,46,7,2,0,14884]"
31,489,7,3,3,1,239121,"[31,489,7,3,3,1,239121]"
61,242,25,6,2,0,58564,"[61,242,25,6,2,0,58564]"
62,72,18,6,2,0,5184,"[62,72,18,6,2,0,5184]"
14,493,16,6,2,0,243049,"[14,493,16,6,2,0,243049]"
62,192,39,1,4,0,36864,"[62,192,39,1,4,0,36864]"
24,339,8,6,2,0,114921,"[24,339,8,6,2,0,114921]"
1,470,2,2,1,0,220900,"[1,470,2,2,1,0,220900]"
6,23,299,2,3,0,529,"[6,23,299,2,3,0,529]"
22,60,125,3,1,1,3600,"[22,60,125,3,1,1,3600]"
36,118,3,2,4,1,13924,"[36,118,3,2,4,1,13924]"
46,96,96,5,3,1,9216,"[46,96,96,5,3,1,9216]"
58,307,1,3,3,1,94249,"[58,307,1,3,3,1,94249]"
