batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,elements_matrix,elements_kernel,hashkey
16,66,6,113,38,4,0,0,0,4356,36,"[16,66,6,113,38,4,0,0,0,4356,36]"
60,508,1,8,17,3,0,1,1,258064,1,"[60,508,1,8,17,3,0,1,1,258064,1]"
5,430,2,21,3,1,1,0,1,184900,4,"[5,430,2,21,3,1,1,0,1,184900,4]"
17,177,3,33,47,3,0,1,1,31329,9,"[17,177,3,33,47,3,0,1,1,31329,9]"
44,245,3,35,24,3,1,0,0,60025,9,"[44,245,3,35,24,3,1,0,0,60025,9]"
25,476,2,13,18,2,0,1,1,226576,4,"[25,476,2,13,18,2,0,1,1,226576,4]"
38,251,1,5,4,1,1,0,0,63001,1,"[38,251,1,5,4,1,1,0,0,63001,1]"
30,468,4,10,4,2,1,0,0,219024,16,"[30,468,4,10,4,2,1,0,0,219024,16]"
30,35,1,243,138,1,1,0,0,1225,1,"[30,35,1,243,138,1,1,0,0,1225,1]"
55,276,4,24,6,3,1,0,0,76176,16,"[55,276,4,24,6,3,1,0,0,76176,16]"
33,73,6,116,83,3,0,0,0,5329,36,"[33,73,6,116,83,3,0,0,0,5329,36]"
12,297,5,30,10,2,0,0,1,88209,25,"[12,297,5,30,10,2,0,0,1,88209,25]"
42,15,6,115,255,3,1,0,0,225,36,"[42,15,6,115,255,3,1,0,0,225,36]"
50,248,7,34,17,2,1,1,1,61504,49,"[50,248,7,34,17,2,1,1,1,61504,49]"
14,168,1,39,18,2,0,0,0,28224,1,"[14,168,1,39,18,2,0,0,0,28224,1]"
13,500,6,14,1,3,0,1,1,250000,36,"[13,500,6,14,1,3,0,1,1,250000,36]"
26,41,6,240,75,4,1,0,1,1681,36,"[26,41,6,240,75,4,1,0,1,1681,36]"
12,18,2,60,438,4,0,0,1,324,4,"[12,18,2,60,438,4,0,0,1,324,4]"
26,211,4,28,15,2,1,0,0,44521,16,"[26,211,4,28,15,2,1,0,0,44521,16]"
62,126,2,24,14,2,0,1,1,15876,4,"[62,126,2,24,14,2,0,1,1,15876,4]"
18,503,6,8,10,3,1,1,0,253009,36,"[18,503,6,8,10,3,1,1,0,253009,36]"
11,314,7,20,19,4,1,0,1,98596,49,"[11,314,7,20,19,4,1,0,1,98596,49]"
41,24,3,295,367,3,1,0,1,576,9,"[41,24,3,295,367,3,1,0,1,576,9]"
26,429,3,10,20,4,0,1,0,184041,9,"[26,429,3,10,20,4,0,1,0,184041,9]"
63,38,1,123,140,3,0,1,0,1444,1,"[63,38,1,123,140,3,0,1,0,1444,1]"
15,80,3,75,122,1,1,0,1,6400,9,"[15,80,3,75,122,1,1,0,1,6400,9]"
44,186,5,44,34,2,1,1,1,34596,25,"[44,186,5,44,34,2,1,1,1,34596,25]"
19,241,5,29,37,4,0,0,1,58081,25,"[19,241,5,29,37,4,0,0,1,58081,25]"
45,372,4,6,12,2,1,0,0,138384,16,"[45,372,4,6,12,2,1,0,0,138384,16]"
25,401,5,9,2,1,0,1,1,160801,25,"[25,401,5,9,2,1,0,1,1,160801,25]"
49,260,5,18,31,3,1,1,1,67600,25,"[49,260,5,18,31,3,1,1,1,67600,25]"
31,411,3,22,18,4,1,0,1,168921,9,"[31,411,3,22,18,4,1,0,1,168921,9]"
49,300,2,8,31,1,1,1,0,90000,4,"[49,300,2,8,31,1,1,1,0,90000,4]"
15,159,4,51,11,2,1,0,0,25281,16,"[15,159,4,51,11,2,1,0,0,25281,16]"
37,452,4,16,16,3,0,0,1,204304,16,"[37,452,4,16,16,3,0,0,1,204304,16]"
34,498,2,2,3,3,0,0,0,248004,4,"[34,498,2,2,3,3,0,0,0,248004,4]"
64,397,7,21,1,4,0,1,0,157609,49,"[64,397,7,21,1,4,0,1,0,157609,49]"
7,296,1,18,31,2,1,0,1,87616,1,"[7,296,1,18,31,2,1,0,1,87616,1]"
22,298,7,27,3,2,0,1,1,88804,49,"[22,298,7,27,3,2,0,1,1,88804,49]"
46,352,4,16,11,4,1,1,0,123904,16,"[46,352,4,16,11,4,1,1,0,123904,16]"
61,281,6,10,14,1,0,1,0,78961,36,"[61,281,6,10,14,1,0,1,0,78961,36]"
10,364,6,5,1,4,1,1,1,132496,36,"[10,364,6,5,1,4,1,1,1,132496,36]"
50,208,2,30,17,1,0,0,1,43264,4,"[50,208,2,30,17,1,0,0,1,43264,4]"
49,296,1,13,27,2,1,0,0,87616,1,"[49,296,1,13,27,2,1,0,0,87616,1]"
39,166,3,58,36,3,1,0,1,27556,9,"[39,166,3,58,36,3,1,0,1,27556,9]"
39,146,4,35,19,1,0,1,1,21316,16,"[39,146,4,35,19,1,0,1,1,21316,16]"
38,103,3,54,69,2,1,1,0,10609,9,"[38,103,3,54,69,2,1,1,0,10609,9]"
60,163,7,39,54,2,0,1,1,26569,49,"[60,163,7,39,54,2,0,1,1,26569,49]"
19,81,6,23,76,4,0,1,0,6561,36,"[19,81,6,23,76,4,0,1,0,6561,36]"
51,157,6,7,26,1,1,0,0,24649,36,"[51,157,6,7,26,1,1,0,0,24649,36]"
25,122,2,1,7,1,1,1,1,14884,4,"[25,122,2,1,7,1,1,1,1,14884,4]"
58,440,6,4,10,1,0,0,1,193600,36,"[58,440,6,4,10,1,0,0,1,193600,36]"
64,43,1,165,91,1,0,1,1,1849,1,"[64,43,1,165,91,1,0,1,1,1849,1]"
5,70,5,38,5,1,0,0,1,4900,25,"[5,70,5,38,5,1,0,0,1,4900,25]"
63,308,7,5,27,1,0,0,1,94864,49,"[63,308,7,5,27,1,0,0,1,94864,49]"
17,277,2,11,33,4,0,1,0,76729,4,"[17,277,2,11,33,4,0,1,0,76729,4]"
52,231,7,18,33,3,1,0,1,53361,49,"[52,231,7,18,33,3,1,0,1,53361,49]"
52,369,2,3,23,2,0,0,1,136161,4,"[52,369,2,3,23,2,0,0,1,136161,4]"
12,251,7,26,38,2,0,1,1,63001,49,"[12,251,7,26,38,2,0,1,1,63001,49]"
23,78,3,38,121,4,0,1,0,6084,9,"[23,78,3,38,121,4,0,1,0,6084,9]"
55,226,6,31,11,1,1,1,1,51076,36,"[55,226,6,31,11,1,1,1,1,51076,36]"
10,99,3,69,5,3,0,1,1,9801,9,"[10,99,3,69,5,3,0,1,1,9801,9]"
51,386,3,19,20,2,1,0,1,148996,9,"[51,386,3,19,20,2,1,0,1,148996,9]"
59,366,7,16,10,4,0,0,0,133956,49,"[59,366,7,16,10,4,0,0,0,133956,49]"
15,135,1,6,67,2,1,0,0,18225,1,"[15,135,1,6,67,2,1,0,0,18225,1]"
57,197,6,5,41,4,0,1,0,38809,36,"[57,197,6,5,41,4,0,1,0,38809,36]"
23,482,6,6,11,4,0,1,0,232324,36,"[23,482,6,6,11,4,0,1,0,232324,36]"
14,57,4,77,154,1,0,1,1,3249,16,"[14,57,4,77,154,1,0,1,1,3249,16]"
48,315,2,17,12,1,1,0,0,99225,4,"[48,315,2,17,12,1,1,0,0,99225,4]"
14,229,3,33,36,2,1,1,1,52441,9,"[14,229,3,33,36,2,1,1,1,52441,9]"
62,91,1,31,107,3,1,0,0,8281,1,"[62,91,1,31,107,3,1,0,0,8281,1]"
57,302,3,26,26,2,0,1,1,91204,9,"[57,302,3,26,26,2,0,1,1,91204,9]"
37,169,7,44,52,1,0,0,1,28561,49,"[37,169,7,44,52,1,0,0,1,28561,49]"
39,182,6,46,44,3,1,1,0,33124,36,"[39,182,6,46,44,3,1,1,0,33124,36]"
35,286,5,9,16,2,1,0,1,81796,25,"[35,286,5,9,16,2,1,0,1,81796,25]"
9,483,5,16,14,3,0,0,1,233289,25,"[9,483,5,16,14,3,0,0,1,233289,25]"
11,158,5,5,43,2,0,1,1,24964,25,"[11,158,5,5,43,2,0,1,1,24964,25]"
56,309,4,17,25,2,0,1,1,95481,16,"[56,309,4,17,25,2,0,1,1,95481,16]"
22,243,6,34,9,2,0,0,1,59049,36,"[22,243,6,34,9,2,0,0,1,59049,36]"
45,89,1,97,56,2,1,1,1,7921,1,"[45,89,1,97,56,2,1,1,1,7921,1]"
20,147,3,16,49,4,0,1,1,21609,9,"[20,147,3,16,49,4,0,1,1,21609,9]"
27,503,4,3,18,1,0,0,0,253009,16,"[27,503,4,3,18,1,0,0,0,253009,16]"
29,411,7,16,8,2,1,1,1,168921,49,"[29,411,7,16,8,2,1,1,1,168921,49]"
13,354,2,23,26,2,0,0,0,125316,4,"[13,354,2,23,26,2,0,0,0,125316,4]"
17,367,5,1,21,2,1,0,0,134689,25,"[17,367,5,1,21,2,1,0,0,134689,25]"
4,61,1,16,106,3,0,1,1,3721,1,"[4,61,1,16,106,3,0,1,1,3721,1]"
8,83,3,84,4,2,1,1,0,6889,9,"[8,83,3,84,4,2,1,1,0,6889,9]"
5,60,2,42,76,2,0,0,1,3600,4,"[5,60,2,42,76,2,0,0,1,3600,4]"
45,265,5,10,35,2,0,0,0,70225,25,"[45,265,5,10,35,2,0,0,0,70225,25]"
64,29,1,114,85,3,1,0,1,841,1,"[64,29,1,114,85,3,1,0,1,841,1]"
43,232,1,28,29,1,0,1,0,53824,1,"[43,232,1,28,29,1,0,1,0,53824,1]"
50,66,5,6,150,4,1,1,1,4356,25,"[50,66,5,6,150,4,1,1,1,4356,25]"
33,274,4,4,25,1,1,0,0,75076,16,"[33,274,4,4,25,1,1,0,0,75076,16]"
15,86,4,89,86,3,0,1,1,7396,16,"[15,86,4,89,86,3,0,1,1,7396,16]"
61,36,3,89,180,4,1,0,0,1296,9,"[61,36,3,89,180,4,1,0,0,1296,9]"
44,475,5,2,18,3,0,1,1,225625,25,"[44,475,5,2,18,3,0,1,1,225625,25]"
48,370,7,22,7,4,1,0,0,136900,49,"[48,370,7,22,7,4,1,0,0,136900,49]"
13,502,4,1,7,1,1,0,0,252004,16,"[13,502,4,1,7,1,1,0,0,252004,16]"
46,392,5,9,23,1,1,0,1,153664,25,"[46,392,5,9,23,1,1,0,1,153664,25]"
7,153,1,8,43,4,1,0,1,23409,1,"[7,153,1,8,43,4,1,0,1,23409,1]"
42,213,6,5,39,3,1,1,0,45369,36,"[42,213,6,5,39,3,1,1,0,45369,36]"
33,510,2,11,17,3,1,1,1,260100,4,"[33,510,2,11,17,3,1,1,1,260100,4]"
27,213,5,18,29,4,0,1,1,45369,25,"[27,213,5,18,29,4,0,1,1,45369,25]"
40,48,3,184,52,1,0,1,1,2304,9,"[40,48,3,184,52,1,0,1,1,2304,9]"
35,462,4,18,6,1,0,0,1,213444,16,"[35,462,4,18,6,1,0,0,1,213444,16]"
55,460,2,2,13,1,0,1,0,211600,4,"[55,460,2,2,13,1,0,1,0,211600,4]"
29,336,7,12,21,3,1,1,0,112896,49,"[29,336,7,12,21,3,1,1,0,112896,49]"
48,36,5,198,268,1,0,1,1,1296,25,"[48,36,5,198,268,1,0,1,1,1296,25]"
29,41,2,25,218,3,1,0,0,1681,4,"[29,41,2,25,218,3,1,0,0,1681,4]"
49,327,1,4,25,1,0,0,0,106929,1,"[49,327,1,4,25,1,0,0,0,106929,1]"
18,223,5,17,31,1,1,1,0,49729,25,"[18,223,5,17,31,1,1,1,0,49729,25]"
34,511,1,3,14,3,1,1,0,261121,1,"[34,511,1,3,14,3,1,1,0,261121,1]"
31,428,3,7,1,1,1,0,0,183184,9,"[31,428,3,7,1,1,1,0,0,183184,9]"
52,180,6,36,49,3,1,1,0,32400,36,"[52,180,6,36,49,3,1,1,0,32400,36]"
44,62,1,132,48,3,1,0,1,3844,1,"[44,62,1,132,48,3,1,0,1,3844,1]"
44,101,3,42,76,4,0,0,1,10201,9,"[44,101,3,42,76,4,0,0,1,10201,9]"
27,27,7,88,171,2,1,0,0,729,49,"[27,27,7,88,171,2,1,0,0,729,49]"
39,363,1,12,11,2,0,1,1,131769,1,"[39,363,1,12,11,2,0,1,1,131769,1]"
11,26,5,220,67,4,1,0,0,676,25,"[11,26,5,220,67,4,1,0,0,676,25]"
17,199,6,44,2,3,1,0,1,39601,36,"[17,199,6,44,2,3,1,0,1,39601,36]"
24,461,3,4,18,1,1,1,1,212521,9,"[24,461,3,4,18,1,1,1,1,212521,9]"
20,120,5,2,6,3,0,1,0,14400,25,"[20,120,5,2,6,3,0,1,0,14400,25]"
50,212,2,42,15,1,0,1,0,44944,4,"[50,212,2,42,15,1,0,1,0,44944,4]"
25,203,4,38,44,1,0,0,1,41209,16,"[25,203,4,38,44,1,0,0,1,41209,16]"
55,110,5,80,2,3,0,0,1,12100,25,"[55,110,5,80,2,3,0,0,1,12100,25]"
42,423,6,22,22,3,1,1,1,178929,36,"[42,423,6,22,22,3,1,1,1,178929,36]"
3,220,4,4,9,1,1,1,1,48400,16,"[3,220,4,4,9,1,1,1,1,48400,16]"
15,423,4,9,18,1,1,1,0,178929,16,"[15,423,4,9,18,1,1,1,0,178929,16]"
32,123,2,33,2,3,1,1,1,15129,4,"[32,123,2,33,2,3,1,1,1,15129,4]"
57,164,1,22,43,1,1,0,0,26896,1,"[57,164,1,22,43,1,1,0,0,26896,1]"
11,460,4,13,1,2,1,0,1,211600,16,"[11,460,4,13,1,2,1,0,1,211600,16]"
41,213,7,4,35,2,0,0,1,45369,49,"[41,213,7,4,35,2,0,0,1,45369,49]"
56,485,2,9,1,3,1,1,1,235225,4,"[56,485,2,9,1,3,1,1,1,235225,4]"
56,58,1,60,98,4,1,0,0,3364,1,"[56,58,1,60,98,4,1,0,0,3364,1]"
40,436,4,8,3,2,1,1,1,190096,16,"[40,436,4,8,3,2,1,1,1,190096,16]"
5,154,7,58,44,3,1,0,0,23716,49,"[5,154,7,58,44,3,1,0,0,23716,49]"
50,326,5,16,4,4,1,0,0,106276,25,"[50,326,5,16,4,4,1,0,0,106276,25]"
48,506,4,4,6,3,0,0,0,256036,16,"[48,506,4,4,6,3,0,0,0,256036,16]"
16,97,5,46,52,3,0,1,0,9409,25,"[16,97,5,46,52,3,0,1,0,9409,25]"
6,82,4,5,61,3,1,0,1,6724,16,"[6,82,4,5,61,3,1,0,1,6724,16]"
3,189,4,22,45,1,1,1,0,35721,16,"[3,189,4,22,45,1,1,1,0,35721,16]"
37,56,1,151,127,2,1,0,1,3136,1,"[37,56,1,151,127,2,1,0,1,3136,1]"
43,90,5,50,28,4,0,1,1,8100,25,"[43,90,5,50,28,4,0,1,1,8100,25]"
16,54,6,160,71,1,1,1,1,2916,36,"[16,54,6,160,71,1,1,1,1,2916,36]"
8,229,7,2,2,1,0,1,0,52441,49,"[8,229,7,2,2,1,0,1,0,52441,49]"
59,187,1,3,27,3,0,0,0,34969,1,"[59,187,1,3,27,3,0,0,0,34969,1]"
12,92,4,5,3,4,1,1,1,8464,16,"[12,92,4,5,3,4,1,1,1,8464,16]"
62,508,7,4,15,4,0,0,1,258064,49,"[62,508,7,4,15,4,0,0,1,258064,49]"
37,313,7,25,13,4,1,0,0,97969,49,"[37,313,7,25,13,4,1,0,0,97969,49]"
37,146,1,65,22,1,0,1,0,21316,1,"[37,146,1,65,22,1,0,1,0,21316,1]"
16,412,2,11,12,1,1,1,1,169744,4,"[16,412,2,11,12,1,1,1,1,169744,4]"
41,421,6,10,8,4,1,1,1,177241,36,"[41,421,6,10,8,4,1,1,1,177241,36]"
22,389,2,21,9,3,1,1,1,151321,4,"[22,389,2,21,9,3,1,1,1,151321,4]"
8,277,6,24,32,4,0,1,1,76729,36,"[8,277,6,24,32,4,0,1,1,76729,36]"
23,456,5,3,6,1,0,1,0,207936,25,"[23,456,5,3,6,1,0,1,0,207936,25]"
36,418,2,18,19,3,0,1,0,174724,4,"[36,418,2,18,19,3,0,1,0,174724,4]"
27,148,3,2,57,1,1,1,0,21904,9,"[27,148,3,2,57,1,1,1,0,21904,9]"
51,195,6,46,35,2,0,0,0,38025,36,"[51,195,6,46,35,2,0,0,0,38025,36]"
28,322,7,24,4,3,1,0,1,103684,49,"[28,322,7,24,4,3,1,0,1,103684,49]"
4,411,1,16,12,3,1,1,1,168921,1,"[4,411,1,16,12,3,1,1,1,168921,1]"
37,162,4,41,53,3,0,1,0,26244,16,"[37,162,4,41,53,3,0,1,0,26244,16]"
37,324,5,8,29,4,1,1,1,104976,25,"[37,324,5,8,29,4,1,1,1,104976,25]"
28,117,5,35,82,2,1,0,1,13689,25,"[28,117,5,35,82,2,1,0,1,13689,25]"
31,162,5,36,29,3,1,0,0,26244,25,"[31,162,5,36,29,3,1,0,0,26244,25]"
54,57,5,157,65,1,1,1,0,3249,25,"[54,57,5,157,65,1,1,1,0,3249,25]"
59,445,1,6,12,4,0,0,0,198025,1,"[59,445,1,6,12,4,0,0,0,198025,1]"
5,277,5,19,19,1,0,1,0,76729,25,"[5,277,5,19,19,1,0,1,0,76729,25]"
38,309,3,12,7,2,1,0,1,95481,9,"[38,309,3,12,7,2,1,0,1,95481,9]"
15,271,7,10,21,4,0,1,1,73441,49,"[15,271,7,10,21,4,0,1,1,73441,49]"
33,426,5,4,6,1,0,0,0,181476,25,"[33,426,5,4,6,1,0,0,0,181476,25]"
41,495,5,10,2,4,0,1,0,245025,25,"[41,495,5,10,2,4,0,1,0,245025,25]"
28,173,7,27,28,2,0,1,1,29929,49,"[28,173,7,27,28,2,0,1,1,29929,49]"
21,416,1,13,7,1,0,1,0,173056,1,"[21,416,1,13,7,1,0,1,0,173056,1]"
34,91,3,44,54,2,1,0,1,8281,9,"[34,91,3,44,54,2,1,0,1,8281,9]"
51,77,1,81,84,3,1,1,1,5929,1,"[51,77,1,81,84,3,1,1,1,5929,1]"
32,408,4,22,17,1,0,0,0,166464,16,"[32,408,4,22,17,1,0,0,0,166464,16]"
21,483,5,16,12,2,0,1,1,233289,25,"[21,483,5,16,12,2,0,1,1,233289,25]"
42,501,1,7,1,1,1,1,1,251001,1,"[42,501,1,7,1,1,1,1,1,251001,1]"
7,251,1,17,18,1,0,1,0,63001,1,"[7,251,1,17,18,1,0,1,0,63001,1]"
3,460,7,17,6,1,1,1,0,211600,49,"[3,460,7,17,6,1,1,1,0,211600,49]"
24,339,4,27,27,4,1,0,0,114921,16,"[24,339,4,27,27,4,1,0,0,114921,16]"
41,434,2,9,19,3,0,1,1,188356,4,"[41,434,2,9,19,3,0,1,1,188356,4]"
23,231,3,39,10,4,1,0,1,53361,9,"[23,231,3,39,10,4,1,0,1,53361,9]"
43,368,6,22,9,3,0,0,0,135424,36,"[43,368,6,22,9,3,0,0,0,135424,36]"
64,389,7,7,11,4,1,1,0,151321,49,"[64,389,7,7,11,4,1,1,0,151321,49]"
61,204,6,2,17,1,0,1,1,41616,36,"[61,204,6,2,17,1,0,1,1,41616,36]"
15,309,4,17,23,2,1,1,0,95481,16,"[15,309,4,17,23,2,1,1,0,95481,16]"
48,119,2,35,20,1,1,1,1,14161,4,"[48,119,2,35,20,1,1,1,1,14161,4]"
59,60,7,140,125,4,0,1,1,3600,49,"[59,60,7,140,125,4,0,1,1,3600,49]"
6,379,7,24,8,4,0,0,1,143641,49,"[6,379,7,24,8,4,0,0,1,143641,49]"
23,179,1,24,27,4,1,0,1,32041,1,"[23,179,1,24,27,4,1,0,1,32041,1]"
64,86,1,49,79,1,0,1,1,7396,1,"[64,86,1,49,79,1,0,1,1,7396,1]"
6,499,2,14,3,1,1,1,0,249001,4,"[6,499,2,14,3,1,1,1,0,249001,4]"
35,94,4,61,51,4,0,0,1,8836,16,"[35,94,4,61,51,4,0,0,1,8836,16]"
56,508,5,13,9,2,1,0,0,258064,25,"[56,508,5,13,9,2,1,0,0,258064,25]"
10,67,4,130,112,1,0,0,0,4489,16,"[10,67,4,130,112,1,0,0,0,4489,16]"
25,44,2,185,3,4,1,0,0,1936,4,"[25,44,2,185,3,4,1,0,0,1936,4]"
12,507,7,18,7,3,0,0,0,257049,49,"[12,507,7,18,7,3,0,0,0,257049,49]"
35,404,3,15,9,2,0,1,0,163216,9,"[35,404,3,15,9,2,0,1,0,163216,9]"
55,108,2,32,55,2,0,1,0,11664,4,"[55,108,2,32,55,2,0,1,0,11664,4]"
57,7,2,183,818,3,1,0,0,49,4,"[57,7,2,183,818,3,1,0,0,49,4]"
41,78,6,28,29,2,1,0,1,6084,36,"[41,78,6,28,29,2,1,0,1,6084,36]"
44,293,4,26,28,1,1,1,1,85849,16,"[44,293,4,26,28,1,1,1,1,85849,16]"
53,438,6,20,8,3,1,1,0,191844,36,"[53,438,6,20,8,3,1,1,0,191844,36]"
33,190,7,13,12,1,0,1,1,36100,49,"[33,190,7,13,12,1,0,1,1,36100,49]"
10,317,6,13,15,1,1,0,1,100489,36,"[10,317,6,13,15,1,1,0,1,100489,36]"
24,211,5,14,18,1,1,1,0,44521,25,"[24,211,5,14,18,1,1,1,0,44521,25]"
48,438,3,18,6,2,1,0,0,191844,9,"[48,438,3,18,6,2,1,0,0,191844,9]"
33,361,1,10,26,1,0,1,0,130321,1,"[33,361,1,10,26,1,0,1,0,130321,1]"
6,357,7,4,15,2,1,0,0,127449,49,"[6,357,7,4,15,2,1,0,0,127449,49]"
62,397,7,13,13,4,1,0,1,157609,49,"[62,397,7,13,13,4,1,0,1,157609,49]"
52,417,1,18,22,2,1,0,0,173889,1,"[52,417,1,18,22,2,1,0,0,173889,1]"
60,449,3,9,17,4,0,1,0,201601,9,"[60,449,3,9,17,4,0,1,0,201601,9]"
61,123,7,80,62,3,0,1,0,15129,49,"[61,123,7,80,62,3,0,1,0,15129,49]"
24,73,2,27,90,4,1,1,0,5329,4,"[24,73,2,27,90,4,1,1,0,5329,4]"
30,301,4,17,25,1,0,0,1,90601,16,"[30,301,4,17,25,1,0,0,1,90601,16]"
20,340,6,5,28,4,1,0,0,115600,36,"[20,340,6,5,28,4,1,0,0,115600,36]"
21,438,5,8,10,1,1,0,0,191844,25,"[21,438,5,8,10,1,1,0,0,191844,25]"
10,437,3,10,4,3,0,1,1,190969,9,"[10,437,3,10,4,3,0,1,1,190969,9]"
18,330,2,27,19,2,1,0,1,108900,4,"[18,330,2,27,19,2,1,0,1,108900,4]"
43,211,3,36,7,1,1,1,0,44521,9,"[43,211,3,36,7,1,1,1,0,44521,9]"
5,445,4,2,18,1,1,0,1,198025,16,"[5,445,4,2,18,1,1,0,1,198025,16]"
48,385,2,18,20,1,1,1,1,148225,4,"[48,385,2,18,20,1,1,1,1,148225,4]"
51,244,4,36,31,4,1,1,0,59536,16,"[51,244,4,36,31,4,1,1,0,59536,16]"
55,101,6,40,77,3,0,0,1,10201,36,"[55,101,6,40,77,3,0,0,1,10201,36]"
31,507,3,1,17,3,0,1,1,257049,9,"[31,507,3,1,17,3,0,1,1,257049,9]"
29,336,7,6,9,2,0,0,1,112896,49,"[29,336,7,6,9,2,0,0,1,112896,49]"
64,339,1,3,19,2,1,0,0,114921,1,"[64,339,1,3,19,2,1,0,0,114921,1]"
36,480,1,15,2,3,0,1,0,230400,1,"[36,480,1,15,2,3,0,1,0,230400,1]"
20,233,3,31,14,1,1,0,0,54289,9,"[20,233,3,31,14,1,1,0,0,54289,9]"
1,123,7,29,7,4,1,1,0,15129,49,"[1,123,7,29,7,4,1,1,0,15129,49]"
7,112,2,30,24,1,0,1,1,12544,4,"[7,112,2,30,24,1,0,1,1,12544,4]"
33,296,6,32,10,3,1,1,1,87616,36,"[33,296,6,32,10,3,1,1,1,87616,36]"
21,190,1,28,32,2,1,1,1,36100,1,"[21,190,1,28,32,2,1,1,1,36100,1]"
56,284,1,1,9,4,1,1,1,80656,1,"[56,284,1,1,9,4,1,1,1,80656,1]"
23,184,1,43,21,3,0,1,0,33856,1,"[23,184,1,43,21,3,0,1,0,33856,1]"
1,94,6,17,61,2,0,1,1,8836,36,"[1,94,6,17,61,2,0,1,1,8836,36]"
52,400,5,11,13,3,1,0,1,160000,25,"[52,400,5,11,13,3,1,0,1,160000,25]"
9,401,3,13,8,2,0,0,0,160801,9,"[9,401,3,13,8,2,0,0,0,160801,9]"
47,438,4,14,12,1,0,1,1,191844,16,"[47,438,4,14,12,1,0,1,1,191844,16]"
51,142,2,20,11,2,1,1,0,20164,4,"[51,142,2,20,11,2,1,1,0,20164,4]"
14,119,3,41,77,3,1,0,0,14161,9,"[14,119,3,41,77,3,1,0,0,14161,9]"
48,170,7,33,16,1,1,1,0,28900,49,"[48,170,7,33,16,1,1,1,0,28900,49]"
58,88,1,17,1,3,0,0,1,7744,1,"[58,88,1,17,1,3,0,0,1,7744,1]"
51,162,5,54,11,1,1,0,0,26244,25,"[51,162,5,54,11,1,1,0,0,26244,25]"
31,275,1,12,15,3,0,0,1,75625,1,"[31,275,1,12,15,3,0,0,1,75625,1]"
57,167,2,21,46,2,1,0,1,27889,4,"[57,167,2,21,46,2,1,0,1,27889,4]"
