batchsize,matsize,channels_in,poolsize,strides,padding,elements_matrix,hashkey
12,98,76,4,4,1,9604,"[12,98,76,4,4,1,9604]"
38,379,11,4,2,1,143641,"[38,379,11,4,2,1,143641]"
61,398,5,5,2,1,158404,"[61,398,5,5,2,1,158404]"
27,390,7,1,2,1,152100,"[27,390,7,1,2,1,152100]"
35,101,22,4,2,1,10201,"[35,101,22,4,2,1,10201]"
40,347,18,7,4,0,120409,"[40,347,18,7,4,0,120409]"
37,389,9,7,2,1,151321,"[37,389,9,7,2,1,151321]"
25,45,207,5,1,1,2025,"[25,45,207,5,1,1,2025]"
37,372,24,4,1,0,138384,"[37,372,24,4,1,0,138384]"
13,474,10,2,3,0,224676,"[13,474,10,2,3,0,224676]"
63,332,17,3,3,0,110224,"[63,332,17,3,3,0,110224]"
50,19,43,1,4,1,361,"[50,19,43,1,4,1,361]"
48,398,17,3,4,0,158404,"[48,398,17,3,4,0,158404]"
35,298,8,6,2,0,88804,"[35,298,8,6,2,0,88804]"
45,179,49,4,4,0,32041,"[45,179,49,4,4,0,32041]"
53,370,19,2,3,1,136900,"[53,370,19,2,3,1,136900]"
50,455,8,1,1,0,207025,"[50,455,8,1,1,0,207025]"
41,172,34,4,3,1,29584,"[41,172,34,4,3,1,29584]"
10,486,11,7,3,1,236196,"[10,486,11,7,3,1,236196]"
47,188,45,1,4,0,35344,"[47,188,45,1,4,0,35344]"
30,416,6,7,4,0,173056,"[30,416,6,7,4,0,173056]"
37,432,17,3,1,1,186624,"[37,432,17,3,1,1,186624]"
34,387,4,3,4,0,149769,"[34,387,4,3,4,0,149769]"
35,260,33,6,2,1,67600,"[35,260,33,6,2,1,67600]"
37,239,5,6,2,1,57121,"[37,239,5,6,2,1,57121]"
1,319,10,3,1,1,101761,"[1,319,10,3,1,1,101761]"
47,149,49,1,1,1,22201,"[47,149,49,1,1,1,22201]"
64,268,14,1,4,0,71824,"[64,268,14,1,4,0,71824]"
47,263,2,3,2,1,69169,"[47,263,2,3,2,1,69169]"
63,272,30,7,4,0,73984,"[63,272,30,7,4,0,73984]"
57,476,6,7,1,0,226576,"[57,476,6,7,1,0,226576]"
49,35,218,1,1,1,1225,"[49,35,218,1,1,1,1225]"
18,107,33,7,1,0,11449,"[18,107,33,7,1,0,11449]"
11,405,8,3,1,0,164025,"[11,405,8,3,1,0,164025]"
22,493,5,6,3,0,243049,"[22,493,5,6,3,0,243049]"
41,168,35,3,2,1,28224,"[41,168,35,3,2,1,28224]"
63,70,79,3,1,1,4900,"[63,70,79,3,1,1,4900]"
22,479,5,4,2,0,229441,"[22,479,5,4,2,0,229441]"
47,44,225,2,2,1,1936,"[47,44,225,2,2,1,1936]"
57,433,4,3,1,0,187489,"[57,433,4,3,1,0,187489]"
38,336,22,6,4,1,112896,"[38,336,22,6,4,1,112896]"
61,115,2,5,2,1,13225,"[61,115,2,5,2,1,13225]"
19,306,17,7,1,0,93636,"[19,306,17,7,1,0,93636]"
50,413,13,1,1,0,170569,"[50,413,13,1,1,0,170569]"
60,149,61,3,4,0,22201,"[60,149,61,3,4,0,22201]"
14,147,4,6,1,0,21609,"[14,147,4,6,1,0,21609]"
22,386,4,7,1,1,148996,"[22,386,4,7,1,1,148996]"
27,80,60,2,4,1,6400,"[27,80,60,2,4,1,6400]"
6,465,14,1,4,0,216225,"[6,465,14,1,4,0,216225]"
63,446,4,1,3,0,198916,"[63,446,4,1,3,0,198916]"
53,293,5,2,2,0,85849,"[53,293,5,2,2,0,85849]"
42,188,15,4,3,0,35344,"[42,188,15,4,3,0,35344]"
35,456,19,3,3,1,207936,"[35,456,19,3,3,1,207936]"
59,143,16,3,3,1,20449,"[59,143,16,3,3,1,20449]"
62,490,11,2,1,1,240100,"[62,490,11,2,1,1,240100]"
11,302,16,4,4,0,91204,"[11,302,16,4,4,0,91204]"
1,342,19,7,1,1,116964,"[1,342,19,7,1,1,116964]"
11,475,11,2,1,1,225625,"[11,475,11,2,1,1,225625]"
17,101,64,2,2,1,10201,"[17,101,64,2,2,1,10201]"
42,395,3,3,1,0,156025,"[42,395,3,3,1,0,156025]"
34,344,3,7,3,1,118336,"[34,344,3,7,3,1,118336]"
40,203,8,1,1,0,41209,"[40,203,8,1,1,0,41209]"
22,502,5,2,3,1,252004,"[22,502,5,2,3,1,252004]"
32,342,9,7,4,0,116964,"[32,342,9,7,4,0,116964]"
38,95,91,1,1,1,9025,"[38,95,91,1,1,1,9025]"
48,261,14,1,2,0,68121,"[48,261,14,1,2,0,68121]"
43,400,3,6,3,1,160000,"[43,400,3,6,3,1,160000]"
32,260,34,5,2,1,67600,"[32,260,34,5,2,1,67600]"
59,308,29,4,4,0,94864,"[59,308,29,4,4,0,94864]"
39,204,5,2,1,1,41616,"[39,204,5,2,1,1,41616]"
14,40,117,5,3,0,1600,"[14,40,117,5,3,0,1600]"
42,253,19,3,3,0,64009,"[42,253,19,3,3,0,64009]"
17,504,4,4,4,0,254016,"[17,504,4,4,4,0,254016]"
33,159,39,1,2,0,25281,"[33,159,39,1,2,0,25281]"
20,94,102,4,1,1,8836,"[20,94,102,4,1,1,8836]"
64,114,27,2,2,1,12996,"[64,114,27,2,2,1,12996]"
6,166,49,1,2,0,27556,"[6,166,49,1,2,0,27556]"
3,343,24,3,1,1,117649,"[3,343,24,3,1,1,117649]"
27,428,17,1,4,1,183184,"[27,428,17,1,4,1,183184]"
41,399,1,5,2,0,159201,"[41,399,1,5,2,0,159201]"
48,34,56,6,1,1,1156,"[48,34,56,6,1,1,1156]"
32,3,3164,2,1,0,9,"[32,3,3164,2,1,0,9]"
20,176,32,2,1,1,30976,"[20,176,32,2,1,1,30976]"
38,452,10,1,3,1,204304,"[38,452,10,1,3,1,204304]"
25,224,5,5,2,0,50176,"[25,224,5,5,2,0,50176]"
15,188,20,3,1,1,35344,"[15,188,20,3,1,1,35344]"
25,196,2,6,1,0,38416,"[25,196,2,6,1,0,38416]"
20,368,23,3,3,1,135424,"[20,368,23,3,3,1,135424]"
62,219,5,7,1,0,47961,"[62,219,5,7,1,0,47961]"
48,406,15,1,4,0,164836,"[48,406,15,1,4,0,164836]"
49,307,21,7,2,1,94249,"[49,307,21,7,2,1,94249]"
51,476,12,7,2,0,226576,"[51,476,12,7,2,0,226576]"
43,53,152,2,2,1,2809,"[43,53,152,2,2,1,2809]"
11,56,113,4,1,0,3136,"[11,56,113,4,1,0,3136]"
23,125,32,1,2,1,15625,"[23,125,32,1,2,1,15625]"
44,234,15,4,4,0,54756,"[44,234,15,4,4,0,54756]"
41,56,171,3,2,1,3136,"[41,56,171,3,2,1,3136]"
64,363,4,4,1,1,131769,"[64,363,4,4,1,1,131769]"
61,430,21,3,2,1,184900,"[61,430,21,3,2,1,184900]"
17,377,16,7,1,0,142129,"[17,377,16,7,1,0,142129]"
36,107,29,2,2,0,11449,"[36,107,29,2,2,0,11449]"
33,394,7,5,2,0,155236,"[33,394,7,5,2,0,155236]"
20,447,11,3,3,0,199809,"[20,447,11,3,3,0,199809]"
8,354,16,6,2,0,125316,"[8,354,16,6,2,0,125316]"
61,301,9,5,1,0,90601,"[61,301,9,5,1,0,90601]"
32,339,17,5,2,1,114921,"[32,339,17,5,2,1,114921]"
25,195,39,4,4,0,38025,"[25,195,39,4,4,0,38025]"
38,184,19,6,2,0,33856,"[38,184,19,6,2,0,33856]"
30,241,21,6,4,0,58081,"[30,241,21,6,4,0,58081]"
33,230,32,2,3,1,52900,"[33,230,32,2,3,1,52900]"
31,148,25,7,2,0,21904,"[31,148,25,7,2,0,21904]"
44,422,21,5,4,0,178084,"[44,422,21,5,4,0,178084]"
3,36,196,1,2,1,1296,"[3,36,196,1,2,1,1296]"
27,489,2,4,4,1,239121,"[27,489,2,4,4,1,239121]"
22,330,28,2,3,0,108900,"[22,330,28,2,3,0,108900]"
47,69,59,2,1,0,4761,"[47,69,59,2,1,0,4761]"
48,119,9,5,1,1,14161,"[48,119,9,5,1,1,14161]"
40,218,11,6,1,1,47524,"[40,218,11,6,1,1,47524]"
25,204,21,3,2,1,41616,"[25,204,21,3,2,1,41616]"
13,209,33,2,2,1,43681,"[13,209,33,2,2,1,43681]"
37,497,15,5,1,1,247009,"[37,497,15,5,1,1,247009]"
58,55,152,3,4,0,3025,"[58,55,152,3,4,0,3025]"
21,455,20,6,3,1,207025,"[21,455,20,6,3,1,207025]"
64,216,18,1,4,1,46656,"[64,216,18,1,4,1,46656]"
27,508,16,2,1,0,258064,"[27,508,16,2,1,0,258064]"
61,180,24,7,4,1,32400,"[61,180,24,7,4,1,32400]"
23,451,16,1,3,1,203401,"[23,451,16,1,3,1,203401]"
10,322,28,3,3,1,103684,"[10,322,28,3,3,1,103684]"
42,149,61,6,1,1,22201,"[42,149,61,6,1,1,22201]"
45,368,24,6,1,1,135424,"[45,368,24,6,1,1,135424]"
50,512,6,3,4,0,262144,"[50,512,6,3,4,0,262144]"
51,343,19,6,1,1,117649,"[51,343,19,6,1,1,117649]"
15,451,6,3,1,1,203401,"[15,451,6,3,1,1,203401]"
35,73,106,5,3,1,5329,"[35,73,106,5,3,1,5329]"
36,330,4,7,3,1,108900,"[36,330,4,7,3,1,108900]"
26,398,11,4,4,1,158404,"[26,398,11,4,4,1,158404]"
59,463,2,6,4,1,214369,"[59,463,2,6,4,1,214369]"
63,69,91,6,3,1,4761,"[63,69,91,6,3,1,4761]"
32,327,1,4,1,1,106929,"[32,327,1,4,1,1,106929]"
31,423,9,1,1,1,178929,"[31,423,9,1,1,1,178929]"
30,419,9,7,4,0,175561,"[30,419,9,7,4,0,175561]"
64,115,53,3,1,1,13225,"[64,115,53,3,1,1,13225]"
64,104,30,7,1,1,10816,"[64,104,30,7,1,1,10816]"
49,330,26,3,3,1,108900,"[49,330,26,3,3,1,108900]"
60,494,8,3,1,0,244036,"[60,494,8,3,1,0,244036]"
55,265,14,1,4,0,70225,"[55,265,14,1,4,0,70225]"
29,481,1,6,3,1,231361,"[29,481,1,6,3,1,231361]"
60,54,72,6,3,1,2916,"[60,54,72,6,3,1,2916]"
3,18,438,6,3,0,324,"[3,18,438,6,3,0,324]"
10,292,14,6,2,1,85264,"[10,292,14,6,2,1,85264]"
10,509,8,1,3,1,259081,"[10,509,8,1,3,1,259081]"
3,414,9,5,2,1,171396,"[3,414,9,5,2,1,171396]"
28,9,55,2,4,0,81,"[28,9,55,2,4,0,81]"
24,120,6,2,1,0,14400,"[24,120,6,2,1,0,14400]"
3,404,23,6,1,0,163216,"[3,404,23,6,1,0,163216]"
22,190,28,5,3,0,36100,"[22,190,28,5,3,0,36100]"
48,183,50,4,1,1,33489,"[48,183,50,4,1,1,33489]"
21,259,13,5,3,1,67081,"[21,259,13,5,3,1,67081]"
36,75,62,2,2,1,5625,"[36,75,62,2,2,1,5625]"
63,123,2,7,1,1,15129,"[63,123,2,7,1,1,15129]"
3,485,18,5,1,0,235225,"[3,485,18,5,1,0,235225]"
61,146,10,2,3,1,21316,"[61,146,10,2,3,1,21316]"
39,473,3,5,3,0,223729,"[39,473,3,5,3,0,223729]"
60,328,24,1,1,1,107584,"[60,328,24,1,1,1,107584]"
38,229,39,6,3,1,52441,"[38,229,39,6,3,1,52441]"
12,74,14,7,1,1,5476,"[12,74,14,7,1,1,5476]"
36,104,16,5,2,0,10816,"[36,104,16,5,2,0,10816]"
25,356,15,4,2,0,126736,"[25,356,15,4,2,0,126736]"
5,474,14,7,1,0,224676,"[5,474,14,7,1,0,224676]"
2,263,11,1,1,0,69169,"[2,263,11,1,1,0,69169]"
47,91,78,3,1,1,8281,"[47,91,78,3,1,1,8281]"
14,398,12,1,2,1,158404,"[14,398,12,1,2,1,158404]"
38,469,1,1,2,1,219961,"[38,469,1,1,2,1,219961]"
62,394,14,4,2,0,155236,"[62,394,14,4,2,0,155236]"
56,301,19,6,4,0,90601,"[56,301,19,6,4,0,90601]"
45,141,34,4,1,0,19881,"[45,141,34,4,1,0,19881]"
23,376,10,7,1,0,141376,"[23,376,10,7,1,0,141376]"
31,235,2,7,1,0,55225,"[31,235,2,7,1,0,55225]"
33,246,23,6,2,1,60516,"[33,246,23,6,2,1,60516]"
6,378,21,7,2,1,142884,"[6,378,21,7,2,1,142884]"
51,244,14,6,1,0,59536,"[51,244,14,6,1,0,59536]"
47,469,8,3,3,1,219961,"[47,469,8,3,3,1,219961]"
29,16,414,3,4,1,256,"[29,16,414,3,4,1,256]"
7,235,19,1,1,1,55225,"[7,235,19,1,1,1,55225]"
33,238,33,3,4,1,56644,"[33,238,33,3,4,1,56644]"
3,188,15,6,2,1,35344,"[3,188,15,6,2,1,35344]"
39,165,51,1,4,0,27225,"[39,165,51,1,4,0,27225]"
32,451,6,4,4,0,203401,"[32,451,6,4,4,0,203401]"
27,333,4,3,2,1,110889,"[27,333,4,3,2,1,110889]"
41,143,68,4,2,0,20449,"[41,143,68,4,2,0,20449]"
14,232,23,2,3,1,53824,"[14,232,23,2,3,1,53824]"
62,76,59,5,3,0,5776,"[62,76,59,5,3,0,5776]"
7,306,30,3,1,0,93636,"[7,306,30,3,1,0,93636]"
17,115,37,6,3,0,13225,"[17,115,37,6,3,0,13225]"
27,37,91,3,3,0,1369,"[27,37,91,3,3,0,1369]"
61,169,40,6,3,1,28561,"[61,169,40,6,3,1,28561]"
37,123,69,2,4,1,15129,"[37,123,69,2,4,1,15129]"
62,45,79,1,3,1,2025,"[62,45,79,1,3,1,2025]"
39,415,12,4,2,0,172225,"[39,415,12,4,2,0,172225]"
56,386,17,1,3,0,148996,"[56,386,17,1,3,0,148996]"
54,295,27,2,3,1,87025,"[54,295,27,2,3,1,87025]"
7,330,14,3,3,0,108900,"[7,330,14,3,3,0,108900]"
23,469,16,2,3,0,219961,"[23,469,16,2,3,0,219961]"
33,35,44,6,3,0,1225,"[33,35,44,6,3,0,1225]"
26,377,2,1,4,0,142129,"[26,377,2,1,4,0,142129]"
57,496,19,6,4,1,246016,"[57,496,19,6,4,1,246016]"
3,20,434,3,2,0,400,"[3,20,434,3,2,0,400]"
42,228,2,1,4,0,51984,"[42,228,2,1,4,0,51984]"
8,213,17,3,1,1,45369,"[8,213,17,3,1,1,45369]"
17,454,2,6,3,1,206116,"[17,454,2,6,3,1,206116]"
24,195,41,2,4,1,38025,"[24,195,41,2,4,1,38025]"
27,60,30,3,3,1,3600,"[27,60,30,3,3,1,3600]"
64,65,121,3,2,0,4225,"[64,65,121,3,2,0,4225]"
10,472,9,4,4,0,222784,"[10,472,9,4,4,0,222784]"
63,343,15,7,2,1,117649,"[63,343,15,7,2,1,117649]"
55,73,122,4,4,0,5329,"[55,73,122,4,4,0,5329]"
53,364,16,6,2,1,132496,"[53,364,16,6,2,1,132496]"
5,67,132,2,3,1,4489,"[5,67,132,2,3,1,4489]"
9,166,27,6,2,1,27556,"[9,166,27,6,2,1,27556]"
56,479,9,5,1,1,229441,"[56,479,9,5,1,1,229441]"
12,496,12,4,1,0,246016,"[12,496,12,4,1,0,246016]"
55,435,18,2,1,1,189225,"[55,435,18,2,1,1,189225]"
51,155,52,2,4,1,24025,"[51,155,52,2,4,1,24025]"
27,293,22,6,1,0,85849,"[27,293,22,6,1,0,85849]"
54,477,12,5,1,1,227529,"[54,477,12,5,1,1,227529]"
25,41,208,4,4,1,1681,"[25,41,208,4,4,1,1681]"
64,219,14,3,2,1,47961,"[64,219,14,3,2,1,47961]"
18,502,13,7,3,0,252004,"[18,502,13,7,3,0,252004]"
37,8,1247,6,2,0,64,"[37,8,1247,6,2,0,64]"
9,476,8,1,1,1,226576,"[9,476,8,1,1,1,226576]"
60,391,4,4,3,0,152881,"[60,391,4,4,3,0,152881]"
7,9,1086,5,1,1,81,"[7,9,1086,5,1,1,81]"
47,362,17,7,2,1,131044,"[47,362,17,7,2,1,131044]"
43,327,14,2,2,0,106929,"[43,327,14,2,2,0,106929]"
6,485,11,5,4,1,235225,"[6,485,11,5,4,1,235225]"
49,313,28,7,2,1,97969,"[49,313,28,7,2,1,97969]"
51,489,8,3,3,0,239121,"[51,489,8,3,3,0,239121]"
62,276,3,7,2,0,76176,"[62,276,3,7,2,0,76176]"
54,87,44,4,1,1,7569,"[54,87,44,4,1,1,7569]"
32,65,97,4,3,0,4225,"[32,65,97,4,3,0,4225]"
28,47,131,3,2,1,2209,"[28,47,131,3,2,1,2209]"
61,137,13,3,2,1,18769,"[61,137,13,3,2,1,18769]"
58,456,15,6,2,1,207936,"[58,456,15,6,2,1,207936]"
46,465,16,6,4,0,216225,"[46,465,16,6,4,0,216225]"
22,14,513,6,2,1,196,"[22,14,513,6,2,1,196]"
45,306,3,3,1,1,93636,"[45,306,3,3,1,1,93636]"
28,319,27,3,3,0,101761,"[28,319,27,3,3,0,101761]"
49,372,9,5,4,0,138384,"[49,372,9,5,4,0,138384]"
51,360,12,6,4,0,129600,"[51,360,12,6,4,0,129600]"
36,154,57,7,4,0,23716,"[36,154,57,7,4,0,23716]"
18,506,2,2,3,0,256036,"[18,506,2,2,3,0,256036]"
35,225,26,7,3,0,50625,"[35,225,26,7,3,0,50625]"
51,356,21,3,2,0,126736,"[51,356,21,3,2,0,126736]"
16,506,12,4,2,0,256036,"[16,506,12,4,2,0,256036]"
