batchsize,dim_input,dim_output,use_bias,activation_fct,hashkey
40,16643,2034,1,1,"[40,16643,2034,1,1]"
60,22545,2184,1,0,"[60,22545,2184,1,0]"
45,17408,742,1,0,"[45,17408,742,1,0]"
55,13007,1093,0,0,"[55,13007,1093,0,0]"
8,24487,2954,0,0,"[8,24487,2954,0,0]"
1,16110,2342,1,0,"[1,16110,2342,1,0]"
56,5294,164,0,0,"[56,5294,164,0,0]"
4,21385,1966,0,1,"[4,21385,1966,0,1]"
61,1951,2180,0,1,"[61,1951,2180,0,1]"
5,9320,188,1,0,"[5,9320,188,1,0]"
17,18098,1008,1,1,"[17,18098,1008,1,1]"
13,29886,2926,1,0,"[13,29886,2926,1,0]"
7,24933,2110,0,1,"[7,24933,2110,0,1]"
2,16126,1529,1,1,"[2,16126,1529,1,1]"
35,4541,2548,1,1,"[35,4541,2548,1,1]"
40,27376,1716,1,0,"[40,27376,1716,1,0]"
12,2550,165,1,0,"[12,2550,165,1,0]"
1,3951,3585,0,0,"[1,3951,3585,0,0]"
30,17903,2097,1,1,"[30,17903,2097,1,1]"
15,18558,1590,1,0,"[15,18558,1590,1,0]"
47,1705,2065,1,0,"[47,1705,2065,1,0]"
49,3391,2284,0,1,"[49,3391,2284,0,1]"
23,6529,3889,1,0,"[23,6529,3889,1,0]"
57,11390,351,1,0,"[57,11390,351,1,0]"
62,29224,2765,1,0,"[62,29224,2765,1,0]"
23,23540,2842,0,1,"[23,23540,2842,0,1]"
45,32407,2699,1,1,"[45,32407,2699,1,1]"
63,11176,3926,1,0,"[63,11176,3926,1,0]"
34,11263,1826,0,1,"[34,11263,1826,0,1]"
27,9602,3809,0,1,"[27,9602,3809,0,1]"
46,15689,3544,1,0,"[46,15689,3544,1,0]"
23,2375,783,1,1,"[23,2375,783,1,1]"
25,32480,912,1,0,"[25,32480,912,1,0]"
50,13679,142,0,1,"[50,13679,142,0,1]"
61,12072,1982,1,0,"[61,12072,1982,1,0]"
31,11331,2828,0,1,"[31,11331,2828,0,1]"
25,14994,2589,1,0,"[25,14994,2589,1,0]"
13,28586,979,1,1,"[13,28586,979,1,1]"
60,17948,1234,1,0,"[60,17948,1234,1,0]"
28,11942,672,0,1,"[28,11942,672,0,1]"
5,11660,3643,1,0,"[5,11660,3643,1,0]"
56,32609,3829,0,0,"[56,32609,3829,0,0]"
31,5475,2811,1,1,"[31,5475,2811,1,1]"
8,2961,1722,1,1,"[8,2961,1722,1,1]"
22,29502,1925,1,1,"[22,29502,1925,1,1]"
47,26465,2318,1,0,"[47,26465,2318,1,0]"
36,3977,2541,1,0,"[36,3977,2541,1,0]"
42,1816,3003,0,1,"[42,1816,3003,0,1]"
31,26886,1829,0,1,"[31,26886,1829,0,1]"
5,1760,3294,1,1,"[5,1760,3294,1,1]"
37,11608,3812,0,0,"[37,11608,3812,0,0]"
15,16781,3840,1,0,"[15,16781,3840,1,0]"
21,1236,3647,1,0,"[21,1236,3647,1,0]"
50,455,3149,0,0,"[50,455,3149,0,0]"
20,21282,3652,0,1,"[20,21282,3652,0,1]"
5,20719,3725,0,1,"[5,20719,3725,0,1]"
24,4618,2785,1,0,"[24,4618,2785,1,0]"
28,19408,985,0,1,"[28,19408,985,0,1]"
47,15491,121,1,0,"[47,15491,121,1,0]"
54,12498,682,1,0,"[54,12498,682,1,0]"
63,16431,1432,0,0,"[63,16431,1432,0,0]"
23,17349,3351,1,1,"[23,17349,3351,1,1]"
45,32581,2113,0,0,"[45,32581,2113,0,0]"
10,29853,240,0,1,"[10,29853,240,0,1]"
45,4556,564,0,0,"[45,4556,564,0,0]"
19,18393,3759,0,0,"[19,18393,3759,0,0]"
60,2789,1726,1,0,"[60,2789,1726,1,0]"
14,11916,2890,1,0,"[14,11916,2890,1,0]"
12,18419,2522,1,0,"[12,18419,2522,1,0]"
12,4813,1689,1,0,"[12,4813,1689,1,0]"
7,26460,805,1,0,"[7,26460,805,1,0]"
2,23037,707,1,1,"[2,23037,707,1,1]"
45,20472,1589,0,1,"[45,20472,1589,0,1]"
35,31304,3859,0,0,"[35,31304,3859,0,0]"
53,25027,2064,0,0,"[53,25027,2064,0,0]"
9,12327,75,1,0,"[9,12327,75,1,0]"
55,8771,849,1,1,"[55,8771,849,1,1]"
35,12964,618,1,1,"[35,12964,618,1,1]"
12,12828,650,0,0,"[12,12828,650,0,0]"
12,7189,3118,1,1,"[12,7189,3118,1,1]"
2,10502,2610,0,0,"[2,10502,2610,0,0]"
25,11753,3626,1,0,"[25,11753,3626,1,0]"
62,19395,1246,0,0,"[62,19395,1246,0,0]"
4,9866,2814,1,1,"[4,9866,2814,1,1]"
15,23981,2927,0,0,"[15,23981,2927,0,0]"
42,13447,1778,0,0,"[42,13447,1778,0,0]"
58,14348,2050,1,0,"[58,14348,2050,1,0]"
15,12106,2714,1,1,"[15,12106,2714,1,1]"
58,11965,4051,0,1,"[58,11965,4051,0,1]"
46,290,1052,0,1,"[46,290,1052,0,1]"
61,22558,3593,1,1,"[61,22558,3593,1,1]"
38,31559,1349,1,0,"[38,31559,1349,1,0]"
13,20377,4090,1,0,"[13,20377,4090,1,0]"
4,29863,1392,1,0,"[4,29863,1392,1,0]"
48,17377,3621,1,1,"[48,17377,3621,1,1]"
6,32055,1305,0,1,"[6,32055,1305,0,1]"
46,11940,903,1,1,"[46,11940,903,1,1]"
4,17400,3631,0,1,"[4,17400,3631,0,1]"
36,24764,816,1,1,"[36,24764,816,1,1]"
1,32387,94,1,0,"[1,32387,94,1,0]"
26,21893,3463,0,1,"[26,21893,3463,0,1]"
30,31772,806,1,1,"[30,31772,806,1,1]"
16,23512,2191,1,0,"[16,23512,2191,1,0]"
6,28518,1010,0,1,"[6,28518,1010,0,1]"
28,22450,3918,1,1,"[28,22450,3918,1,1]"
32,28356,2430,0,1,"[32,28356,2430,0,1]"
10,21554,2639,1,0,"[10,21554,2639,1,0]"
55,6868,3740,0,1,"[55,6868,3740,0,1]"
5,21346,3752,1,1,"[5,21346,3752,1,1]"
61,16519,2460,0,1,"[61,16519,2460,0,1]"
59,32675,3803,1,1,"[59,32675,3803,1,1]"
45,9363,2127,1,1,"[45,9363,2127,1,1]"
27,7851,2903,0,1,"[27,7851,2903,0,1]"
24,18501,5,0,0,"[24,18501,5,0,0]"
59,6610,1886,0,1,"[59,6610,1886,0,1]"
46,14906,1004,1,1,"[46,14906,1004,1,1]"
28,4399,734,1,0,"[28,4399,734,1,0]"
53,21576,2785,0,1,"[53,21576,2785,0,1]"
17,14740,3077,1,0,"[17,14740,3077,1,0]"
24,17147,3287,1,1,"[24,17147,3287,1,1]"
41,7878,3136,1,1,"[41,7878,3136,1,1]"
15,17525,2035,1,0,"[15,17525,2035,1,0]"
53,28461,1085,1,0,"[53,28461,1085,1,0]"
25,17791,2851,0,1,"[25,17791,2851,0,1]"
63,4377,793,0,0,"[63,4377,793,0,0]"
1,781,234,1,1,"[1,781,234,1,1]"
4,32457,2548,0,0,"[4,32457,2548,0,0]"
30,30145,1929,0,1,"[30,30145,1929,0,1]"
17,19956,2947,1,1,"[17,19956,2947,1,1]"
22,24056,858,1,0,"[22,24056,858,1,0]"
31,29286,2299,1,1,"[31,29286,2299,1,1]"
58,18481,2971,1,1,"[58,18481,2971,1,1]"
43,21838,2816,1,0,"[43,21838,2816,1,0]"
19,29051,856,1,1,"[19,29051,856,1,1]"
1,16209,1709,1,1,"[1,16209,1709,1,1]"
42,23433,1877,1,0,"[42,23433,1877,1,0]"
12,946,2784,1,1,"[12,946,2784,1,1]"
16,8409,2599,0,1,"[16,8409,2599,0,1]"
19,22978,2017,1,1,"[19,22978,2017,1,1]"
56,2656,3555,1,1,"[56,2656,3555,1,1]"
19,6047,3086,1,0,"[19,6047,3086,1,0]"
56,8557,3853,1,1,"[56,8557,3853,1,1]"
32,27583,3184,1,0,"[32,27583,3184,1,0]"
61,240,3470,1,1,"[61,240,3470,1,1]"
48,27729,2621,0,0,"[48,27729,2621,0,0]"
39,28888,256,0,1,"[39,28888,256,0,1]"
39,28724,3912,0,0,"[39,28724,3912,0,0]"
18,14140,1223,1,0,"[18,14140,1223,1,0]"
43,20086,2747,0,0,"[43,20086,2747,0,0]"
35,18515,3977,1,1,"[35,18515,3977,1,1]"
56,13446,1038,0,1,"[56,13446,1038,0,1]"
38,24348,1166,0,0,"[38,24348,1166,0,0]"
62,9894,2585,0,1,"[62,9894,2585,0,1]"
38,22582,3774,0,0,"[38,22582,3774,0,0]"
39,24660,3462,1,1,"[39,24660,3462,1,1]"
6,14792,528,1,0,"[6,14792,528,1,0]"
42,11128,55,0,1,"[42,11128,55,0,1]"
41,4867,4004,0,1,"[41,4867,4004,0,1]"
58,12530,3992,0,0,"[58,12530,3992,0,0]"
27,11910,3147,1,1,"[27,11910,3147,1,1]"
55,24401,1963,0,0,"[55,24401,1963,0,0]"
64,12462,2544,0,1,"[64,12462,2544,0,1]"
26,20609,2984,1,1,"[26,20609,2984,1,1]"
50,23209,3563,1,1,"[50,23209,3563,1,1]"
45,26651,1804,1,0,"[45,26651,1804,1,0]"
36,16629,1964,1,1,"[36,16629,1964,1,1]"
42,21520,3082,0,1,"[42,21520,3082,0,1]"
55,9406,354,0,1,"[55,9406,354,0,1]"
25,31001,2967,0,1,"[25,31001,2967,0,1]"
54,4290,3575,1,0,"[54,4290,3575,1,0]"
2,14261,564,0,0,"[2,14261,564,0,0]"
64,16275,631,1,1,"[64,16275,631,1,1]"
25,18288,2674,0,0,"[25,18288,2674,0,0]"
52,12578,2291,0,1,"[52,12578,2291,0,1]"
22,9546,3528,1,1,"[22,9546,3528,1,1]"
58,9789,2833,0,0,"[58,9789,2833,0,0]"
27,8932,1420,1,1,"[27,8932,1420,1,1]"
64,16078,1051,1,0,"[64,16078,1051,1,0]"
1,22895,1882,0,1,"[1,22895,1882,0,1]"
31,9958,101,1,0,"[31,9958,101,1,0]"
38,23768,539,1,0,"[38,23768,539,1,0]"
27,20985,907,1,0,"[27,20985,907,1,0]"
48,13116,1224,1,1,"[48,13116,1224,1,1]"
46,23976,2749,0,0,"[46,23976,2749,0,0]"
9,4825,3509,1,1,"[9,4825,3509,1,1]"
16,30631,1405,0,0,"[16,30631,1405,0,0]"
11,25280,54,1,0,"[11,25280,54,1,0]"
5,563,3350,0,1,"[5,563,3350,0,1]"
41,29415,1005,1,0,"[41,29415,1005,1,0]"
64,22195,963,0,1,"[64,22195,963,0,1]"
29,6426,245,0,1,"[29,6426,245,0,1]"
54,21157,2086,1,0,"[54,21157,2086,1,0]"
37,1267,2894,1,1,"[37,1267,2894,1,1]"
58,12066,2094,0,0,"[58,12066,2094,0,0]"
48,17826,3613,0,0,"[48,17826,3613,0,0]"
35,16397,257,1,1,"[35,16397,257,1,1]"
8,21964,3870,0,0,"[8,21964,3870,0,0]"
21,22023,2520,1,0,"[21,22023,2520,1,0]"
35,10400,4094,0,1,"[35,10400,4094,0,1]"
28,4190,1835,1,1,"[28,4190,1835,1,1]"
28,292,3267,0,1,"[28,292,3267,0,1]"
19,28163,1530,1,1,"[19,28163,1530,1,1]"
2,27258,186,0,1,"[2,27258,186,0,1]"
30,18168,946,0,0,"[30,18168,946,0,0]"
1,9150,2311,0,1,"[1,9150,2311,0,1]"
1,1572,752,1,0,"[1,1572,752,1,0]"
12,8127,877,1,0,"[12,8127,877,1,0]"
62,25033,1348,1,1,"[62,25033,1348,1,1]"
32,20566,1119,0,1,"[32,20566,1119,0,1]"
14,24714,3653,1,1,"[14,24714,3653,1,1]"
30,20227,4095,0,1,"[30,20227,4095,0,1]"
23,23855,2360,0,0,"[23,23855,2360,0,0]"
29,29794,403,0,0,"[29,29794,403,0,0]"
38,27378,895,1,0,"[38,27378,895,1,0]"
37,8696,2922,0,1,"[37,8696,2922,0,1]"
47,24207,1815,0,0,"[47,24207,1815,0,0]"
26,29444,3235,0,1,"[26,29444,3235,0,1]"
28,17713,969,0,1,"[28,17713,969,0,1]"
56,8740,2161,1,0,"[56,8740,2161,1,0]"
35,31523,2934,0,1,"[35,31523,2934,0,1]"
14,25879,1972,1,1,"[14,25879,1972,1,1]"
61,18735,318,1,0,"[61,18735,318,1,0]"
25,27339,1190,1,0,"[25,27339,1190,1,0]"
40,17195,428,1,1,"[40,17195,428,1,1]"
7,23326,2877,1,0,"[7,23326,2877,1,0]"
25,17942,1513,1,0,"[25,17942,1513,1,0]"
41,4147,2706,1,0,"[41,4147,2706,1,0]"
47,22912,1713,1,1,"[47,22912,1713,1,1]"
46,1064,1769,0,1,"[46,1064,1769,0,1]"
32,1460,1945,0,1,"[32,1460,1945,0,1]"
61,26716,979,0,0,"[61,26716,979,0,0]"
10,11179,2586,0,0,"[10,11179,2586,0,0]"
29,10424,267,0,1,"[29,10424,267,0,1]"
37,6413,1518,1,1,"[37,6413,1518,1,1]"
7,31033,3489,1,0,"[7,31033,3489,1,0]"
52,12207,8,0,0,"[52,12207,8,0,0]"
22,5175,1003,1,0,"[22,5175,1003,1,0]"
46,10325,1848,0,1,"[46,10325,1848,0,1]"
47,7303,1220,1,0,"[47,7303,1220,1,0]"
31,15871,364,0,0,"[31,15871,364,0,0]"
56,18813,621,0,1,"[56,18813,621,0,1]"
36,2044,1384,0,0,"[36,2044,1384,0,0]"
60,954,1707,0,0,"[60,954,1707,0,0]"
38,12077,1443,1,1,"[38,12077,1443,1,1]"
53,17374,2850,1,0,"[53,17374,2850,1,0]"
43,30181,1110,1,1,"[43,30181,1110,1,1]"
44,19204,3165,1,1,"[44,19204,3165,1,1]"
32,31076,2371,1,1,"[32,31076,2371,1,1]"
39,15654,2997,1,0,"[39,15654,2997,1,0]"
12,26172,2529,0,1,"[12,26172,2529,0,1]"
30,8260,3541,1,0,"[30,8260,3541,1,0]"
12,28393,156,0,1,"[12,28393,156,0,1]"
43,8573,3513,1,0,"[43,8573,3513,1,0]"
48,22088,3419,0,0,"[48,22088,3419,0,0]"
14,13247,995,0,1,"[14,13247,995,0,1]"
4,31860,3078,1,0,"[4,31860,3078,1,0]"
57,30229,3382,0,1,"[57,30229,3382,0,1]"
7,10826,2974,1,1,"[7,10826,2974,1,1]"
15,8562,446,0,0,"[15,8562,446,0,0]"
57,16387,961,0,0,"[57,16387,961,0,0]"
1,152,1520,1,1,"[1,152,1520,1,1]"
48,8495,2214,1,0,"[48,8495,2214,1,0]"
34,26514,799,0,1,"[34,26514,799,0,1]"
5,19492,250,0,0,"[5,19492,250,0,0]"
30,6633,3779,1,1,"[30,6633,3779,1,1]"
14,19687,3065,1,1,"[14,19687,3065,1,1]"
55,31078,337,1,1,"[55,31078,337,1,1]"
58,30395,2667,1,1,"[58,30395,2667,1,1]"
16,23921,3437,0,0,"[16,23921,3437,0,0]"
13,26560,1324,0,0,"[13,26560,1324,0,0]"
12,26879,2404,1,1,"[12,26879,2404,1,1]"
32,14350,1754,1,0,"[32,14350,1754,1,0]"
49,27973,2816,1,1,"[49,27973,2816,1,1]"
19,18106,1404,1,1,"[19,18106,1404,1,1]"
34,6285,1877,1,0,"[34,6285,1877,1,0]"
14,17145,497,0,1,"[14,17145,497,0,1]"
22,5392,3302,1,0,"[22,5392,3302,1,0]"
2,21084,4058,1,0,"[2,21084,4058,1,0]"
54,31610,2552,0,0,"[54,31610,2552,0,0]"
29,18729,820,1,0,"[29,18729,820,1,0]"
37,20388,3229,0,1,"[37,20388,3229,0,1]"
56,25857,879,0,0,"[56,25857,879,0,0]"
40,24644,3427,0,1,"[40,24644,3427,0,1]"
30,2374,932,1,1,"[30,2374,932,1,1]"
4,3862,3501,0,0,"[4,3862,3501,0,0]"
16,12102,3585,0,1,"[16,12102,3585,0,1]"
33,29109,2464,0,0,"[33,29109,2464,0,0]"
26,19498,1747,0,0,"[26,19498,1747,0,0]"
2,20047,2496,1,1,"[2,20047,2496,1,1]"
62,6966,2535,0,0,"[62,6966,2535,0,0]"
29,8693,1679,0,0,"[29,8693,1679,0,0]"
29,28327,1196,0,0,"[29,28327,1196,0,0]"
55,30549,1952,1,0,"[55,30549,1952,1,0]"
18,27354,2286,1,1,"[18,27354,2286,1,1]"
26,17845,1937,0,1,"[26,17845,1937,0,1]"
45,13282,2386,1,0,"[45,13282,2386,1,0]"
2,4076,1417,0,0,"[2,4076,1417,0,0]"
39,7349,3987,0,0,"[39,7349,3987,0,0]"
62,31915,2356,0,0,"[62,31915,2356,0,0]"
46,1119,2728,1,0,"[46,1119,2728,1,0]"
49,27594,2282,1,0,"[49,27594,2282,1,0]"
53,26149,422,1,1,"[53,26149,422,1,1]"
1,17807,1002,1,1,"[1,17807,1002,1,1]"
1,7180,2521,1,0,"[1,7180,2521,1,0]"
41,950,1234,0,1,"[41,950,1234,0,1]"
22,2127,1435,1,0,"[22,2127,1435,1,0]"
51,11619,1157,1,1,"[51,11619,1157,1,1]"
48,15198,559,0,0,"[48,15198,559,0,0]"
20,16647,1608,0,0,"[20,16647,1608,0,0]"
10,19330,2411,0,1,"[10,19330,2411,0,1]"
51,21720,1394,0,0,"[51,21720,1394,0,0]"
4,17179,1433,1,1,"[4,17179,1433,1,1]"
31,10635,1387,0,0,"[31,10635,1387,0,0]"
26,27453,3678,0,0,"[26,27453,3678,0,0]"
1,8977,399,1,0,"[1,8977,399,1,0]"
61,12629,3481,1,1,"[61,12629,3481,1,1]"
51,9744,1749,0,1,"[51,9744,1749,0,1]"
22,8245,3339,1,1,"[22,8245,3339,1,1]"
45,23753,1018,1,1,"[45,23753,1018,1,1]"
2,1252,2541,1,1,"[2,1252,2541,1,1]"
18,8154,519,1,0,"[18,8154,519,1,0]"
25,1047,3047,1,1,"[25,1047,3047,1,1]"
7,22539,3216,0,1,"[7,22539,3216,0,1]"
41,7289,2139,0,1,"[41,7289,2139,0,1]"
62,11571,362,0,0,"[62,11571,362,0,0]"
15,18129,3585,1,1,"[15,18129,3585,1,1]"
15,22372,1402,0,0,"[15,22372,1402,0,0]"
5,28947,3386,1,0,"[5,28947,3386,1,0]"
6,7512,2299,1,0,"[6,7512,2299,1,0]"
37,20276,2266,1,1,"[37,20276,2266,1,1]"
7,32191,541,1,0,"[7,32191,541,1,0]"
51,20546,714,0,0,"[51,20546,714,0,0]"
36,10735,2345,1,1,"[36,10735,2345,1,1]"
41,30470,3059,1,1,"[41,30470,3059,1,1]"
24,21487,2244,0,1,"[24,21487,2244,0,1]"
49,26180,2874,0,0,"[49,26180,2874,0,0]"
16,17539,1014,1,1,"[16,17539,1014,1,1]"
56,13693,3894,0,0,"[56,13693,3894,0,0]"
51,14674,1018,1,1,"[51,14674,1018,1,1]"
47,15849,1056,1,1,"[47,15849,1056,1,1]"
41,24839,3543,0,0,"[41,24839,3543,0,0]"
35,29350,307,1,0,"[35,29350,307,1,0]"
1,904,3443,0,1,"[1,904,3443,0,1]"
33,17526,331,0,0,"[33,17526,331,0,0]"
59,25857,1381,0,1,"[59,25857,1381,0,1]"
4,17875,3758,0,1,"[4,17875,3758,0,1]"
62,18998,2453,0,0,"[62,18998,2453,0,0]"
15,8068,2339,0,0,"[15,8068,2339,0,0]"
61,9011,3738,1,0,"[61,9011,3738,1,0]"
40,10010,867,0,0,"[40,10010,867,0,0]"
49,18669,3748,1,0,"[49,18669,3748,1,0]"
47,5748,602,1,1,"[47,5748,602,1,1]"
24,20772,1167,0,0,"[24,20772,1167,0,0]"
42,995,2573,1,0,"[42,995,2573,1,0]"
10,22723,2173,1,0,"[10,22723,2173,1,0]"
52,5665,2967,1,0,"[52,5665,2967,1,0]"
5,3479,3133,0,0,"[5,3479,3133,0,0]"
54,2528,1081,1,0,"[54,2528,1081,1,0]"
55,10808,661,0,0,"[55,10808,661,0,0]"
21,7681,1650,0,1,"[21,7681,1650,0,1]"
2,3617,2921,0,1,"[2,3617,2921,0,1]"
27,26484,2184,0,1,"[27,26484,2184,0,1]"
49,14507,3907,0,0,"[49,14507,3907,0,0]"
22,3261,900,1,1,"[22,3261,900,1,1]"
17,3884,2786,1,1,"[17,3884,2786,1,1]"
41,7013,364,1,1,"[41,7013,364,1,1]"
55,6885,863,0,0,"[55,6885,863,0,0]"
44,19965,1041,1,1,"[44,19965,1041,1,1]"
64,10796,3412,0,0,"[64,10796,3412,0,0]"
46,20140,3815,0,0,"[46,20140,3815,0,0]"
50,23918,1408,1,1,"[50,23918,1408,1,1]"
12,23494,2155,1,0,"[12,23494,2155,1,0]"
